time,cpu,gc,size,used,classes,classes_shared,live,daemon
"18:53:09.973, 15 maj 2023","14,4","0,0","113 246 208","73 411 584","13 941","0","40","36"
"18:53:10.974, 15 maj 2023","15,4","0,0","113 246 208","63 267 672","13 941","0","40","36"
"18:53:11.974, 15 maj 2023","14,6","0,0","113 246 208","77 927 560","13 941","0","40","36"
"18:53:12.974, 15 maj 2023","15,2","0,0","113 246 208","67 707 528","13 941","0","40","36"
"18:53:13.975, 15 maj 2023","14,2","0,0","113 246 208","84 781 936","13 941","0","40","36"
"18:53:14.975, 15 maj 2023","14,3","0,0","113 246 208","72 475 928","13 941","0","40","36"
"18:53:15.975, 15 maj 2023","15,0","0,0","113 246 208","62 142 072","13 941","0","40","36"
"18:53:16.976, 15 maj 2023","14,9","0,0","113 246 208","81 171 512","13 941","0","40","36"
"18:53:17.977, 15 maj 2023","14,6","0,0","113 246 208","68 955 776","13 941","0","40","36"
"18:53:18.978, 15 maj 2023","15,3","0,0","113 246 208","62 941 184","13 941","0","40","36"
"18:53:19.978, 15 maj 2023","14,1","0,0","113 246 208","84 056 280","13 941","0","40","36"
"18:53:20.979, 15 maj 2023","15,2","0,0","113 246 208","78 129 528","13 941","0","40","36"
"18:53:21.980, 15 maj 2023","15,1","0,0","113 246 208","76 233 392","13 941","0","40","36"
"18:53:22.980, 15 maj 2023","15,3","0,1","113 246 208","72 379 544","13 941","0","40","36"
"18:53:23.981, 15 maj 2023","14,6","0,0","113 246 208","66 379 080","13 941","0","40","36"
"18:53:24.982, 15 maj 2023","14,3","0,0","113 246 208","83 478 712","13 941","0","40","36"
"18:53:25.984, 15 maj 2023","15,0","0,0","113 246 208","77 400 360","13 941","0","40","36"
"18:53:26.985, 15 maj 2023","14,7","0,0","113 246 208","67 100 728","13 941","0","40","36"
"18:53:27.985, 15 maj 2023","14,8","0,0","113 246 208","88 154 408","13 941","0","40","36"
"18:53:28.985, 15 maj 2023","14,6","0,0","113 246 208","84 158 376","13 941","0","40","36"
"18:53:29.986, 15 maj 2023","14,2","0,0","113 246 208","78 250 016","13 941","0","40","36"
"18:53:30.987, 15 maj 2023","14,5","0,0","113 246 208","72 178 152","13 941","0","40","36"
"18:53:31.987, 15 maj 2023","14,2","0,0","113 246 208","89 165 096","13 941","0","40","36"
"18:53:32.988, 15 maj 2023","19,1","0,0","113 246 208","79 050 584","13 941","0","40","36"
"18:53:33.989, 15 maj 2023","14,7","0,0","113 246 208","75 022 120","13 941","0","40","36"
"18:53:34.989, 15 maj 2023","14,8","0,0","113 246 208","66 932 368","13 941","0","40","36"
"18:53:35.991, 15 maj 2023","15,4","0,0","113 246 208","69 319 296","13 941","0","40","36"
"18:53:36.993, 15 maj 2023","14,3","0,0","113 246 208","80 037 664","13 941","0","40","36"
"18:53:37.993, 15 maj 2023","15,2","0,0","113 246 208","76 133 640","13 941","0","40","36"
"18:53:38.994, 15 maj 2023","14,4","0,0","113 246 208","72 229 648","13 941","0","40","36"
"18:53:39.994, 15 maj 2023","14,6","0,0","113 246 208","70 418 920","13 941","0","40","36"
"18:53:40.994, 15 maj 2023","14,4","0,0","113 246 208","91 411 744","13 941","0","40","36"
"18:53:41.995, 15 maj 2023","16,1","0,1","113 246 208","73 079 856","13 941","0","40","36"
"18:53:42.996, 15 maj 2023","15,4","0,0","113 246 208","81 531 768","13 941","0","40","36"
"18:53:43.997, 15 maj 2023","14,2","0,0","113 246 208","83 967 144","13 941","0","40","36"
"18:53:44.997, 15 maj 2023","14,4","0,0","113 246 208","88 540 040","13 941","0","40","36"
"18:53:45.997, 15 maj 2023","15,5","0,1","113 246 208","69 972 312","13 941","0","40","36"
"18:53:46.999, 15 maj 2023","14,6","0,0","113 246 208","74 527 912","13 941","0","40","36"
"18:53:47.999, 15 maj 2023","15,2","0,0","113 246 208","83 329 400","13 941","0","40","36"
"18:53:49.000, 15 maj 2023","14,5","0,0","113 246 208","87 810 736","13 941","0","40","36"
"18:53:50.001, 15 maj 2023","14,1","0,1","113 246 208","75 495 752","13 941","0","40","36"
"18:53:51.002, 15 maj 2023","15,4","0,0","113 246 208","86 328 920","13 941","0","40","36"
"18:53:52.003, 15 maj 2023","14,5","0,1","113 246 208","76 144 568","13 941","0","40","36"
"18:53:53.003, 15 maj 2023","15,7","0,0","113 246 208","84 901 552","13 941","0","40","36"
"18:53:54.003, 15 maj 2023","14,8","0,1","113 246 208","76 989 840","13 941","0","40","36"
"18:53:55.005, 15 maj 2023","14,4","0,0","113 246 208","87 550 224","13 941","0","40","36"
"18:53:56.006, 15 maj 2023","15,8","0,0","113 246 208","86 017 360","13 941","0","40","36"
"18:53:57.007, 15 maj 2023","15,0","0,1","113 246 208","84 159 904","13 941","0","40","36"
"18:53:58.008, 15 maj 2023","15,7","0,1","113 246 208","82 410 376","13 941","0","40","36"
"18:53:59.008, 15 maj 2023","14,6","0,1","113 246 208","80 757 688","13 941","0","40","36"
"18:54:00.009, 15 maj 2023","14,7","0,1","113 246 208","79 138 792","13 941","0","40","36"
"18:54:01.010, 15 maj 2023","15,6","0,0","113 246 208","85 761 096","13 941","0","40","36"
"18:54:02.010, 15 maj 2023","14,4","0,1","113 246 208","75 658 904","13 941","0","40","36"
"18:54:03.010, 15 maj 2023","15,9","0,1","113 246 208","84 388 232","13 941","0","40","36"
"18:54:04.012, 15 maj 2023","14,7","0,0","113 246 208","91 167 120","13 941","0","40","36"
"18:54:05.013, 15 maj 2023","14,5","0,1","113 246 208","81 172 744","13 941","0","40","36"
"18:54:06.013, 15 maj 2023","15,6","0,1","113 246 208","81 489 960","13 941","0","40","36"
"18:54:07.014, 15 maj 2023","14,9","0,1","113 246 208","83 895 496","13 941","0","40","36"
