"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"23:14:40.911, 20 kwi 2023","0,3","0,0","77 594 624","43 339 568","8 638","0","25","15"
"23:14:50.912, 20 kwi 2023","36,5","0,0","98 566 144","54 359 104","10 200","0","78","68"
"23:15:00.912, 20 kwi 2023","27,8","0,0","102 760 448","67 980 368","10 162","0","78","68"
"23:15:10.912, 20 kwi 2023","14,7","0,0","104 857 600","55 516 424","10 172","0","78","68"
"23:15:20.913, 20 kwi 2023","10,0","0,0","109 051 904","68 075 656","10 175","0","40","30"
"23:15:30.914, 20 kwi 2023","8,2","0,0","109 051 904","70 610 704","10 175","0","36","26"
"23:15:40.916, 20 kwi 2023","7,1","0,0","109 051 904","70 476 216","10 175","0","36","26"
"23:15:50.917, 20 kwi 2023","8,3","0,0","109 051 904","59 397 064","10 177","0","36","26"
"23:16:00.919, 20 kwi 2023","8,1","0,0","109 051 904","58 042 264","10 180","0","44","34"
"23:16:10.920, 20 kwi 2023","6,1","0,0","109 051 904","72 257 744","10 180","0","44","34"
"23:16:20.922, 20 kwi 2023","5,9","0,0","109 051 904","84 191 776","10 180","0","44","34"
"23:16:30.922, 20 kwi 2023","6,0","0,0","109 051 904","85 591 864","10 180","0","34","24"
"23:16:40.923, 20 kwi 2023","6,9","0,0","109 051 904","80 886 600","10 185","0","34","24"
"23:16:50.924, 20 kwi 2023","6,2","0,0","109 051 904","78 176 224","10 185","0","34","24"
"23:17:00.925, 20 kwi 2023","5,7","0,0","109 051 904","88 023 240","10 185","0","33","23"
"23:17:10.926, 20 kwi 2023","5,8","0,0","109 051 904","81 199 032","10 185","0","33","23"
"23:17:20.927, 20 kwi 2023","5,9","0,0","109 051 904","87 588 560","10 185","0","37","27"
"23:17:30.927, 20 kwi 2023","5,6","0,0","109 051 904","85 148 496","10 185","0","38","28"
"23:17:40.928, 20 kwi 2023","5,6","0,0","109 051 904","74 188 608","10 185","0","38","28"
"23:17:50.930, 20 kwi 2023","5,6","0,0","109 051 904","75 798 072","10 185","0","34","24"
"23:18:00.931, 20 kwi 2023","5,8","0,0","109 051 904","85 886 448","10 185","0","33","23"
"23:18:10.932, 20 kwi 2023","5,5","0,0","109 051 904","87 655 816","10 186","0","34","24"
"23:18:20.934, 20 kwi 2023","5,8","0,0","109 051 904","81 158 320","10 186","0","34","24"
"23:18:30.935, 20 kwi 2023","6,0","0,0","132 120 576","93 295 928","10 186","0","34","24"
"23:18:40.936, 20 kwi 2023","5,4","0,0","132 120 576","86 633 608","10 186","0","34","24"
"23:18:50.937, 20 kwi 2023","5,5","0,0","132 120 576","90 051 960","10 186","0","34","24"
"23:19:00.937, 20 kwi 2023","5,5","0,0","132 120 576","100 210 248","10 187","0","34","24"
"23:19:10.938, 20 kwi 2023","5,5","0,0","132 120 576","98 102 120","10 187","0","36","26"
"23:19:20.938, 20 kwi 2023","5,6","0,0","132 120 576","101 770 728","10 187","0","36","26"
"23:19:30.939, 20 kwi 2023","5,4","0,0","132 120 576","99 176 872","10 187","0","36","26"
"23:19:40.940, 20 kwi 2023","5,4","0,0","132 120 576","107 103 704","10 187","0","35","25"
"23:19:50.941, 20 kwi 2023","5,4","0,0","132 120 576","100 131 104","10 187","0","33","23"
"23:20:00.941, 20 kwi 2023","5,6","0,0","132 120 576","97 780 192","10 187","0","33","23"
"23:20:10.941, 20 kwi 2023","5,6","0,0","132 120 576","108 239 712","10 187","0","36","26"
"23:20:20.942, 20 kwi 2023","5,7","0,0","132 120 576","105 913 160","10 187","0","36","26"
"23:20:30.942, 20 kwi 2023","5,6","0,0","159 383 552","124 351 720","10 187","0","36","26"
"23:20:40.942, 20 kwi 2023","5,3","0,0","159 383 552","125 905 800","10 187","0","33","23"
"23:20:50.943, 20 kwi 2023","5,3","0,0","159 383 552","116 968 424","10 187","0","34","24"
"23:21:00.944, 20 kwi 2023","5,2","0,0","159 383 552","122 684 968","10 187","0","36","26"
"23:21:10.944, 20 kwi 2023","5,2","0,0","159 383 552","124 438 248","10 187","0","36","26"
"23:21:20.945, 20 kwi 2023","5,2","0,0","159 383 552","117 578 952","10 187","0","36","26"
"23:21:30.945, 20 kwi 2023","5,2","0,0","159 383 552","127 457 608","10 187","0","34","24"
"23:21:40.946, 20 kwi 2023","5,2","0,0","159 383 552","124 981 336","10 187","0","34","24"
"23:21:50.948, 20 kwi 2023","5,2","0,0","159 383 552","116 349 176","10 187","0","36","26"
"23:22:00.949, 20 kwi 2023","5,2","0,0","159 383 552","126 188 216","10 187","0","36","26"
"23:22:10.949, 20 kwi 2023","5,1","0,0","159 383 552","119 454 824","10 187","0","36","26"
"23:22:20.950, 20 kwi 2023","5,3","0,0","159 383 552","125 231 528","10 187","0","35","25"
"23:22:30.951, 20 kwi 2023","5,3","0,0","159 383 552","126 920 808","10 187","0","35","25"
"23:22:40.951, 20 kwi 2023","5,4","0,0","159 383 552","128 704 360","10 187","0","35","25"
"23:22:50.952, 20 kwi 2023","5,3","0,0","159 383 552","126 264 408","10 187","0","34","24"
"23:23:00.953, 20 kwi 2023","5,5","0,1","159 383 552","130 779 328","10 187","0","37","27"
"23:23:10.953, 20 kwi 2023","5,4","0,0","192 937 984","142 726 312","10 187","0","37","27"
"23:23:20.955, 20 kwi 2023","5,1","0,0","192 937 984","146 151 152","10 187","0","37","27"
"23:23:30.957, 20 kwi 2023","5,2","0,0","192 937 984","132 769 256","10 187","0","35","25"
"23:23:40.957, 20 kwi 2023","5,1","0,0","192 937 984","152 988 648","10 187","0","35","25"
"23:23:50.957, 20 kwi 2023","5,2","0,0","192 937 984","160 609 864","10 187","0","34","24"
"23:24:00.957, 20 kwi 2023","5,1","0,0","192 937 984","141 393 480","10 189","0","34","24"
"23:24:10.958, 20 kwi 2023","5,2","0,0","192 937 984","161 648 024","10 189","0","34","24"
"23:24:20.960, 20 kwi 2023","5,1","0,0","192 937 984","161 056 040","10 189","0","33","23"
"23:24:30.960, 20 kwi 2023","5,1","0,0","192 937 984","158 335 168","10 189","0","33","23"
"23:24:40.961, 20 kwi 2023","5,2","0,0","192 937 984","153 656 600","10 189","0","33","23"
"23:24:50.961, 20 kwi 2023","5,2","0,0","192 937 984","163 745 600","10 189","0","34","24"
"23:25:00.962, 20 kwi 2023","5,2","0,0","192 937 984","146 490 832","10 189","0","34","24"
"23:25:10.962, 20 kwi 2023","5,4","0,0","192 937 984","148 573 400","10 189","0","38","28"
"23:25:20.963, 20 kwi 2023","5,2","0,0","192 937 984","152 180 088","10 189","0","38","28"
"23:25:30.963, 20 kwi 2023","5,2","0,0","192 937 984","158 036 680","10 189","0","38","28"
"23:25:40.964, 20 kwi 2023","5,2","0,0","192 937 984","155 360 256","10 189","0","34","24"
"23:25:50.965, 20 kwi 2023","5,3","0,0","192 937 984","155 076 512","10 189","0","33","23"
"23:26:00.966, 20 kwi 2023","5,5","0,0","192 937 984","156 889 976","10 189","0","33","23"
"23:26:10.967, 20 kwi 2023","5,2","0,0","232 783 872","175 291 032","10 189","0","33","23"
"23:26:20.967, 20 kwi 2023","5,1","0,0","232 783 872","171 098 760","10 189","0","36","26"
"23:26:30.968, 20 kwi 2023","5,1","0,0","232 783 872","182 736 168","10 189","0","36","26"
"23:26:40.969, 20 kwi 2023","5,1","0,0","232 783 872","169 077 168","10 189","0","36","26"
"23:26:50.970, 20 kwi 2023","5,1","0,0","232 783 872","176 201 392","10 189","0","34","24"
"23:27:00.972, 20 kwi 2023","5,1","0,0","232 783 872","176 868 032","10 189","0","34","24"
"23:27:10.972, 20 kwi 2023","5,1","0,0","232 783 872","179 782 776","10 189","0","33","23"
"23:27:20.973, 20 kwi 2023","5,2","0,0","232 783 872","179 790 504","10 189","0","36","26"
"23:27:30.973, 20 kwi 2023","5,1","0,0","232 783 872","193 834 696","10 189","0","36","26"
"23:27:40.974, 20 kwi 2023","5,1","0,0","232 783 872","180 432 640","10 189","0","36","26"
"23:27:50.974, 20 kwi 2023","5,1","0,0","232 783 872","198 453 320","10 189","0","34","24"
"23:28:00.976, 20 kwi 2023","5,1","0,0","232 783 872","193 524 200","10 189","0","34","24"
"23:28:10.978, 20 kwi 2023","5,2","0,0","232 783 872","184 652 856","10 189","0","34","24"
"23:28:20.979, 20 kwi 2023","5,1","0,0","232 783 872","183 962 504","10 189","0","34","24"
"23:28:30.979, 20 kwi 2023","5,1","0,0","232 783 872","179 224 240","10 189","0","34","24"
"23:28:40.980, 20 kwi 2023","5,2","0,0","232 783 872","178 727 136","10 189","0","33","23"
"23:28:50.980, 20 kwi 2023","5,1","0,0","232 783 872","198 919 736","10 189","0","33","23"
"23:29:00.981, 20 kwi 2023","5,2","0,0","232 783 872","190 083 400","10 189","0","33","23"
"23:29:10.981, 20 kwi 2023","5,1","0,0","232 783 872","193 863 176","10 189","0","34","24"
"23:29:20.981, 20 kwi 2023","5,2","0,0","232 783 872","195 385 528","10 189","0","34","24"
"23:29:30.983, 20 kwi 2023","5,2","0,0","232 783 872","190 778 032","10 189","0","34","24"
"23:29:40.984, 20 kwi 2023","5,3","0,0","232 783 872","190 395 608","10 189","0","34","24"
"23:29:50.984, 20 kwi 2023","5,3","0,0","232 783 872","196 315 360","10 189","0","33","23"
"23:30:00.985, 20 kwi 2023","5,3","0,0","232 783 872","191 715 656","10 189","0","33","23"
"23:30:10.987, 20 kwi 2023","5,4","0,0","232 783 872","197 705 144","10 189","0","34","24"
"23:30:20.987, 20 kwi 2023","5,4","0,0","232 783 872","197 609 256","10 189","0","34","24"
"23:30:30.988, 20 kwi 2023","5,3","0,0","232 783 872","203 524 296","10 189","0","34","24"
"23:30:40.990, 20 kwi 2023","5,4","0,0","232 783 872","203 182 360","10 189","0","34","24"
"23:30:50.992, 20 kwi 2023","5,4","0,0","232 783 872","203 126 984","10 189","0","36","26"
"23:31:00.992, 20 kwi 2023","5,4","0,0","232 783 872","206 991 248","10 189","0","36","26"
"23:31:10.993, 20 kwi 2023","5,5","0,0","232 783 872","204 549 224","10 189","0","36","26"
"23:31:20.994, 20 kwi 2023","5,3","0,0","232 783 872","212 703 048","10 189","0","35","25"
"23:31:30.995, 20 kwi 2023","5,5","0,0","350 224 384","188 702 296","10 189","0","35","25"
"23:31:40.995, 20 kwi 2023","5,0","0,0","350 224 384","134 117 168","10 189","0","35","25"
"23:31:50.997, 20 kwi 2023","5,0","0,0","350 224 384","260 395 928","10 189","0","33","23"
"23:32:00.997, 20 kwi 2023","5,0","0,0","350 224 384","195 989 024","10 189","0","33","23"
"23:32:10.997, 20 kwi 2023","5,0","0,0","350 224 384","133 277 584","10 189","0","33","23"
"23:32:20.998, 20 kwi 2023","5,0","0,0","350 224 384","265 621 080","10 189","0","33","23"
"23:32:30.999, 20 kwi 2023","4,9","0,0","350 224 384","188 280 984","10 189","0","34","24"
"23:32:40.999, 20 kwi 2023","4,9","0,0","350 224 384","121 511 080","10 189","0","34","24"
"23:32:51.001, 20 kwi 2023","4,9","0,0","350 224 384","243 145 192","10 189","0","34","24"
"23:33:01.003, 20 kwi 2023","5,8","0,0","350 224 384","195 376 280","10 189","0","77","67"
"23:33:11.004, 20 kwi 2023","5,2","0,0","350 224 384","145 980 376","10 189","0","77","67"
"23:33:21.005, 20 kwi 2023","5,1","0,0","350 224 384","98 898 936","10 189","0","77","67"
"23:33:31.005, 20 kwi 2023","5,0","0,0","350 224 384","243 642 872","10 189","0","33","23"
"23:33:41.006, 20 kwi 2023","5,0","0,0","350 224 384","186 844 936","10 189","0","33","23"
"23:33:51.007, 20 kwi 2023","5,0","0,0","350 224 384","120 926 048","10 189","0","34","24"
"23:34:01.007, 20 kwi 2023","5,0","0,0","350 224 384","261 643 976","10 189","0","34","24"
"23:34:11.008, 20 kwi 2023","5,0","0,0","350 224 384","194 650 360","10 189","0","34","24"
"23:34:21.008, 20 kwi 2023","5,0","0,0","350 224 384","127 415 272","10 189","0","33","23"
"23:34:31.008, 20 kwi 2023","5,0","0,0","350 224 384","259 514 248","10 189","0","33","23"
"23:34:41.009, 20 kwi 2023","5,0","0,0","350 224 384","186 365 592","10 189","0","33","23"
"23:34:51.009, 20 kwi 2023","5,0","0,0","350 224 384","112 927 584","10 189","0","33","23"
"23:35:01.011, 20 kwi 2023","4,9","0,0","350 224 384","238 716 920","10 189","0","33","23"
"23:35:11.013, 20 kwi 2023","5,0","0,0","350 224 384","163 133 256","10 189","0","33","23"
"23:35:21.014, 20 kwi 2023","5,0","0,0","350 224 384","89 680 376","10 189","0","33","23"
"23:35:31.014, 20 kwi 2023","4,9","0,0","350 224 384","215 649 832","10 189","0","33","23"
"23:35:41.014, 20 kwi 2023","4,9","0,0","350 224 384","138 025 272","10 189","0","33","23"
"23:35:51.015, 20 kwi 2023","5,0","0,0","350 224 384","261 825 216","10 189","0","33","23"
"23:36:01.015, 20 kwi 2023","5,0","0,0","350 224 384","188 324 880","10 189","0","33","23"
"23:36:11.016, 20 kwi 2023","5,0","0,0","350 224 384","123 456 144","10 189","0","33","23"
"23:36:21.017, 20 kwi 2023","4,9","0,0","350 224 384","251 342 328","10 189","0","33","23"
"23:36:31.017, 20 kwi 2023","4,9","0,0","350 224 384","177 854 056","10 189","0","35","25"
"23:36:41.019, 20 kwi 2023","5,0","0,0","350 224 384","111 360 536","10 189","0","35","25"
"23:36:51.021, 20 kwi 2023","5,0","0,0","350 224 384","245 795 008","10 189","0","35","25"
"23:37:01.022, 20 kwi 2023","4,9","0,0","350 224 384","166 128 280","10 189","0","33","23"
"23:37:11.023, 20 kwi 2023","5,0","0,0","350 224 384","82 218 472","10 189","0","33","23"
"23:37:21.023, 20 kwi 2023","5,1","0,0","350 224 384","224 940 696","10 189","0","34","24"
"23:37:31.024, 20 kwi 2023","5,0","0,0","350 224 384","147 714 920","10 189","0","34","24"
"23:37:41.024, 20 kwi 2023","5,0","0,0","350 224 384","78 739 240","10 189","0","34","24"
"23:37:51.026, 20 kwi 2023","5,0","0,0","350 224 384","212 789 752","10 189","0","34","24"
"23:38:01.026, 20 kwi 2023","5,0","0,0","350 224 384","143 805 808","10 189","0","34","24"
"23:38:11.027, 20 kwi 2023","5,0","0,0","350 224 384","275 921 968","10 189","0","36","26"
"23:38:21.028, 20 kwi 2023","5,0","0,0","350 224 384","200 903 416","10 189","0","36","26"
"23:38:31.029, 20 kwi 2023","4,9","0,0","350 224 384","119 558 080","10 189","0","36","26"
"23:38:41.031, 20 kwi 2023","4,8","0,0","350 224 384","239 221 608","10 189","0","33","23"
"23:38:51.033, 20 kwi 2023","5,0","0,0","350 224 384","168 428 384","10 189","0","37","27"
"23:39:01.034, 20 kwi 2023","4,9","0,0","350 224 384","84 999 032","10 189","0","37","27"
"23:39:11.035, 20 kwi 2023","5,0","0,0","350 224 384","223 468 312","10 189","0","37","27"
"23:39:21.036, 20 kwi 2023","4,9","0,0","350 224 384","146 229 768","10 189","0","37","27"
"23:39:31.037, 20 kwi 2023","4,9","0,0","350 224 384","280 349 456","10 189","0","33","23"
"23:39:41.039, 20 kwi 2023","5,1","0,0","350 224 384","219 777 576","10 189","0","34","24"
"23:39:51.041, 20 kwi 2023","5,0","0,0","350 224 384","156 580 952","10 189","0","34","24"
"23:40:01.042, 20 kwi 2023","5,0","0,0","350 224 384","97 896 800","10 189","0","34","24"
"23:40:11.043, 20 kwi 2023","5,0","0,0","350 224 384","232 137 912","10 189","0","33","23"
"23:40:21.043, 20 kwi 2023","5,0","0,0","350 224 384","171 074 088","10 189","0","33","23"
"23:40:31.045, 20 kwi 2023","4,9","0,0","350 224 384","93 590 104","10 189","0","33","23"
"23:40:41.046, 20 kwi 2023","5,0","0,0","350 224 384","234 097 016","10 189","0","33","23"
"23:40:51.046, 20 kwi 2023","5,0","0,0","350 224 384","154 225 648","10 189","0","34","24"
"23:41:01.047, 20 kwi 2023","5,0","0,0","350 224 384","83 608 576","10 189","0","34","24"
"23:41:11.048, 20 kwi 2023","4,9","0,0","350 224 384","211 632 088","10 189","0","34","24"
"23:41:21.048, 20 kwi 2023","4,9","0,0","350 224 384","129 694 504","10 189","0","34","24"
"23:41:31.050, 20 kwi 2023","4,9","0,0","350 224 384","249 414 712","10 189","0","33","23"
"23:41:41.051, 20 kwi 2023","5,0","0,0","350 224 384","174 413 792","10 189","0","35","25"
"23:41:51.051, 20 kwi 2023","5,0","0,0","350 224 384","109 735 512","10 189","0","35","25"
"23:42:01.052, 20 kwi 2023","4,9","0,0","350 224 384","246 084 216","10 189","0","35","25"
"23:42:11.052, 20 kwi 2023","4,9","0,0","350 224 384","179 130 912","10 189","0","33","23"
"23:42:21.054, 20 kwi 2023","4,9","0,0","350 224 384","107 829 240","10 189","0","33","23"
"23:42:31.056, 20 kwi 2023","4,9","0,0","350 224 384","233 567 840","10 189","0","33","23"
"23:42:41.057, 20 kwi 2023","5,0","0,0","350 224 384","164 469 800","10 189","0","33","23"
"23:42:51.057, 20 kwi 2023","4,9","0,0","350 224 384","89 168 608","10 189","0","34","24"
"23:43:01.057, 20 kwi 2023","5,0","0,0","350 224 384","225 579 448","10 189","0","34","24"
"23:43:11.058, 20 kwi 2023","4,9","0,0","350 224 384","154 169 488","10 189","0","34","24"
"23:43:21.060, 20 kwi 2023","5,0","0,0","350 224 384","89 379 496","10 189","0","33","23"
"23:43:31.062, 20 kwi 2023","5,0","0,0","350 224 384","225 425 624","10 189","0","33","23"
"23:43:41.063, 20 kwi 2023","4,9","0,0","350 224 384","154 438 608","10 189","0","33","23"
"23:43:51.063, 20 kwi 2023","5,1","0,0","350 224 384","99 825 528","10 189","0","77","67"
"23:44:01.064, 20 kwi 2023","5,0","0,0","350 224 384","244 931 576","10 189","0","77","67"
"23:44:11.065, 20 kwi 2023","5,1","0,0","350 224 384","204 255 032","10 189","0","77","67"
"23:44:21.065, 20 kwi 2023","5,0","0,0","350 224 384","151 452 392","10 189","0","39","29"
"23:44:31.066, 20 kwi 2023","5,0","0,0","350 224 384","94 528 440","10 189","0","39","29"
"23:44:41.067, 20 kwi 2023","5,0","0,0","350 224 384","243 138 552","10 189","0","39","29"
"23:44:51.068, 20 kwi 2023","5,0","0,0","350 224 384","178 573 864","10 189","0","34","24"
"23:45:01.069, 20 kwi 2023","5,0","0,0","350 224 384","119 425 080","10 189","0","34","24"
"23:45:11.070, 20 kwi 2023","4,9","0,0","350 224 384","253 838 560","10 189","0","34","24"
"23:45:21.071, 20 kwi 2023","5,0","0,0","350 224 384","197 209 112","10 189","0","33","23"
"23:45:31.071, 20 kwi 2023","4,9","0,0","350 224 384","123 535 768","10 189","0","33","23"
"23:45:41.072, 20 kwi 2023","5,0","0,0","350 224 384","270 251 512","10 189","0","33","23"
"23:45:51.073, 20 kwi 2023","5,0","0,0","350 224 384","209 391 144","10 189","0","33","23"
"23:46:01.074, 20 kwi 2023","5,0","0,0","350 224 384","144 696 808","10 189","0","34","24"
"23:46:11.074, 20 kwi 2023","5,1","0,0","350 224 384","287 872 192","10 189","0","35","25"
"23:46:21.075, 20 kwi 2023","4,9","0,0","350 224 384","215 030 024","10 189","0","35","25"
"23:46:31.076, 20 kwi 2023","4,9","0,0","350 224 384","148 128 640","10 189","0","35","25"
"23:46:41.077, 20 kwi 2023","5,0","0,0","350 224 384","286 556 368","10 189","0","33","23"
"23:46:51.078, 20 kwi 2023","5,0","0,0","350 224 384","221 770 408","10 189","0","33","23"
"23:47:01.079, 20 kwi 2023","5,1","0,0","350 224 384","169 472 744","10 189","0","33","23"
"23:47:11.079, 20 kwi 2023","5,0","0,0","350 224 384","108 845 064","10 189","0","34","24"
"23:47:21.080, 20 kwi 2023","4,9","0,0","350 224 384","249 418 312","10 189","0","34","24"
"23:47:31.082, 20 kwi 2023","4,9","0,0","350 224 384","178 587 824","10 189","0","34","24"
"23:47:41.083, 20 kwi 2023","5,0","0,0","350 224 384","128 225 680","10 189","0","34","24"
"23:47:51.084, 20 kwi 2023","4,9","0,0","350 224 384","253 972 320","10 189","0","33","23"
"23:48:01.085, 20 kwi 2023","5,1","0,0","350 224 384","209 783 576","10 189","0","34","24"
"23:48:11.086, 20 kwi 2023","4,9","0,0","350 224 384","136 765 752","10 189","0","34","24"
"23:48:21.087, 20 kwi 2023","5,0","0,0","350 224 384","281 721 528","10 189","0","34","24"
"23:48:31.087, 20 kwi 2023","5,0","0,0","350 224 384","216 528 488","10 189","0","33","23"
"23:48:41.087, 20 kwi 2023","5,1","0,0","350 224 384","166 060 920","10 189","0","34","24"
"23:48:51.087, 20 kwi 2023","5,0","0,0","350 224 384","108 291 064","10 189","0","36","26"
"23:49:01.087, 20 kwi 2023","5,0","0,0","350 224 384","253 190 152","10 189","0","36","26"
"23:49:11.088, 20 kwi 2023","4,9","0,0","350 224 384","184 575 792","10 189","0","36","26"
"23:49:21.088, 20 kwi 2023","4,9","0,0","350 224 384","119 503 992","10 189","0","33","23"
"23:49:31.089, 20 kwi 2023","4,9","0,0","350 224 384","256 046 968","10 189","0","34","24"
"23:49:41.090, 20 kwi 2023","5,1","0,0","350 224 384","195 959 896","10 189","0","38","28"
"23:49:51.090, 20 kwi 2023","5,0","0,0","350 224 384","141 761 400","10 189","0","38","28"
"23:50:01.092, 20 kwi 2023","5,1","0,0","350 224 384","276 111 576","10 189","0","38","28"
"23:50:11.092, 20 kwi 2023","5,0","0,0","350 224 384","219 528 120","10 189","0","34","24"
"23:50:21.093, 20 kwi 2023","4,9","0,0","350 224 384","149 942 208","10 189","0","34","24"
"23:50:31.093, 20 kwi 2023","4,9","0,0","350 224 384","277 568 344","10 189","0","33","23"
"23:50:41.094, 20 kwi 2023","5,0","0,0","350 224 384","218 986 584","10 189","0","33","23"
"23:50:51.094, 20 kwi 2023","5,0","0,0","350 224 384","155 998 248","10 189","0","33","23"
"23:51:01.095, 20 kwi 2023","5,0","0,0","350 224 384","93 452 776","10 189","0","35","25"
"23:51:11.095, 20 kwi 2023","4,9","0,0","350 224 384","228 042 704","10 189","0","35","25"
"23:51:21.096, 20 kwi 2023","5,0","0,0","350 224 384","165 371 672","10 189","0","36","26"
"23:51:31.097, 20 kwi 2023","5,0","0,0","350 224 384","98 529 664","10 189","0","36","26"
"23:51:41.098, 20 kwi 2023","5,0","0,0","350 224 384","230 662 728","10 189","0","36","26"
"23:51:51.100, 20 kwi 2023","4,9","0,0","350 224 384","159 697 752","10 189","0","35","25"
"23:52:01.100, 20 kwi 2023","5,1","0,0","350 224 384","107 187 544","10 189","0","35","25"
"23:52:11.102, 20 kwi 2023","5,0","0,0","350 224 384","239 314 384","10 189","0","34","24"
"23:52:21.104, 20 kwi 2023","5,0","0,0","350 224 384","178 418 632","10 189","0","34","24"
"23:52:31.105, 20 kwi 2023","4,9","0,0","350 224 384","107 036 312","10 189","0","35","25"
"23:52:41.107, 20 kwi 2023","4,9","0,0","350 224 384","241 480 584","10 189","0","35","25"
"23:52:51.107, 20 kwi 2023","5,0","0,0","350 224 384","172 467 808","10 189","0","35","25"
"23:53:01.107, 20 kwi 2023","4,9","0,0","350 224 384","296 074 648","10 189","0","34","24"
"23:53:11.108, 20 kwi 2023","4,9","0,0","350 224 384","212 036 632","10 189","0","34","24"
"23:53:21.108, 20 kwi 2023","5,0","0,0","350 224 384","149 176 800","10 189","0","34","24"
"23:53:31.109, 20 kwi 2023","5,0","0,0","350 224 384","285 505 872","10 189","0","34","24"
"23:53:41.110, 20 kwi 2023","4,9","0,0","350 224 384","212 136 136","10 189","0","33","23"
"23:53:51.111, 20 kwi 2023","5,0","0,0","350 224 384","134 610 296","10 189","0","33","23"
"23:54:01.113, 20 kwi 2023","5,0","0,0","350 224 384","273 119 560","10 189","0","33","23"
"23:54:11.114, 20 kwi 2023","5,0","0,0","350 224 384","203 749 224","10 189","0","33","23"
"23:54:21.115, 20 kwi 2023","4,9","0,0","350 224 384","119 928 856","10 189","0","33","23"
"23:54:31.116, 20 kwi 2023","5,0","0,0","350 224 384","262 832 360","10 189","0","34","24"
"23:54:41.117, 20 kwi 2023","4,9","0,0","350 224 384","193 903 128","10 189","0","34","24"
"23:54:51.118, 20 kwi 2023","5,0","0,0","350 224 384","120 575 472","10 189","0","34","24"
"23:55:01.118, 20 kwi 2023","5,0","0,0","350 224 384","267 397 064","10 189","0","34","24"
"23:55:11.119, 20 kwi 2023","5,1","0,0","350 224 384","211 052 360","10 189","0","73","63"
"23:55:21.121, 20 kwi 2023","5,0","0,0","350 224 384","157 012 240","10 189","0","73","63"
"23:55:31.121, 20 kwi 2023","5,0","0,0","350 224 384","122 337 752","10 189","0","73","63"
"23:55:41.122, 20 kwi 2023","5,0","0,0","350 224 384","273 359 512","10 189","0","34","24"
"23:55:51.123, 20 kwi 2023","5,0","0,0","350 224 384","221 487 288","10 189","0","35","25"
"23:56:01.124, 20 kwi 2023","5,1","0,0","350 224 384","166 501 288","10 189","0","35","25"
"23:56:11.125, 20 kwi 2023","5,0","0,0","350 224 384","110 334 584","10 189","0","35","25"
"23:56:21.126, 20 kwi 2023","4,9","0,0","350 224 384","244 400 664","10 189","0","34","24"
"23:56:31.126, 20 kwi 2023","5,1","0,0","350 224 384","186 396 768","10 189","0","37","27"
"23:56:41.126, 20 kwi 2023","5,0","0,0","350 224 384","130 348 664","10 189","0","37","27"
"23:56:51.127, 20 kwi 2023","5,0","0,0","350 224 384","272 993 528","10 189","0","37","27"
"23:57:01.127, 20 kwi 2023","4,9","0,0","350 224 384","203 844 200","10 189","0","34","24"
"23:57:11.128, 20 kwi 2023","4,9","0,0","350 224 384","130 250 520","10 189","0","34","24"
"23:57:21.129, 20 kwi 2023","4,9","0,0","350 224 384","270 783 672","10 189","0","34","24"
"23:57:31.130, 20 kwi 2023","4,9","0,0","350 224 384","197 427 352","10 189","0","34","24"
"23:57:41.130, 20 kwi 2023","4,9","0,0","350 224 384","136 783 504","10 189","0","34","24"
"23:57:51.130, 20 kwi 2023","4,9","0,0","350 224 384","270 884 984","10 189","0","33","23"
"23:58:01.131, 20 kwi 2023","5,0","0,0","350 224 384","210 778 936","10 189","0","36","26"
"23:58:11.133, 20 kwi 2023","5,0","0,0","350 224 384","165 018 472","10 189","0","36","26"
"23:58:21.133, 20 kwi 2023","4,9","0,0","350 224 384","104 524 520","10 189","0","36","26"
"23:58:31.135, 20 kwi 2023","5,0","0,0","350 224 384","249 566 728","10 189","0","33","23"
"23:58:41.136, 20 kwi 2023","5,0","0,0","350 224 384","194 652 536","10 189","0","33","23"
"23:58:51.136, 20 kwi 2023","5,0","0,0","350 224 384","150 751 624","10 189","0","33","23"
"23:59:01.138, 20 kwi 2023","4,9","0,0","350 224 384","291 423 032","10 189","0","33","23"
"23:59:11.139, 20 kwi 2023","5,0","0,0","350 224 384","226 384 392","10 189","0","33","23"
"23:59:21.139, 20 kwi 2023","5,1","0,0","350 224 384","167 765 048","10 189","0","34","24"
"23:59:31.139, 20 kwi 2023","5,0","0,0","350 224 384","297 970 040","10 189","0","34","24"
"23:59:41.140, 20 kwi 2023","5,0","0,0","350 224 384","228 856 664","10 189","0","34","24"
"23:59:51.141, 20 kwi 2023","5,0","0,0","350 224 384","161 969 840","10 189","0","34","24"
"00:00:01.141, 21 kwi 2023","4,9","0,0","350 224 384","285 978 728","10 189","0","34","24"
"00:00:11.142, 21 kwi 2023","4,9","0,0","350 224 384","202 058 224","10 189","0","34","24"
"00:00:21.142, 21 kwi 2023","5,0","0,0","350 224 384","130 678 456","10 189","0","34","24"
"00:00:31.143, 21 kwi 2023","5,0","0,0","350 224 384","266 928 088","10 189","0","39","29"
"00:00:41.143, 21 kwi 2023","5,0","0,0","350 224 384","194 963 720","10 189","0","39","29"
"00:00:51.145, 21 kwi 2023","5,0","0,0","350 224 384","134 848 408","10 189","0","39","29"
