"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"04:25:12.437, 21 kwi 2023","5,0","0,0","524 288 000","460 412 408","10 110","0","34","24"
"04:25:22.438, 21 kwi 2023","4,9","0,0","524 288 000","424 906 584","10 110","0","34","24"
"04:25:32.439, 21 kwi 2023","5,5","0,0","524 288 000","414 462 040","10 110","0","77","67"
"04:25:42.440, 21 kwi 2023","5,0","0,0","524 288 000","420 286 696","10 110","0","77","67"
"04:25:52.440, 21 kwi 2023","5,0","0,0","524 288 000","433 689 232","10 110","0","77","67"
"04:26:02.441, 21 kwi 2023","5,0","0,0","524 288 000","447 761 040","10 110","0","34","24"
"04:26:12.441, 21 kwi 2023","4,9","0,0","524 288 000","422 932 488","10 110","0","34","24"
"04:26:22.442, 21 kwi 2023","4,9","0,0","524 288 000","393 783 144","10 110","0","33","23"
"04:26:32.443, 21 kwi 2023","4,9","0,0","524 288 000","364 092 856","10 110","0","33","23"
"04:26:42.444, 21 kwi 2023","5,0","0,0","524 288 000","349 368 152","10 110","0","34","24"
"04:26:52.444, 21 kwi 2023","4,9","0,0","524 288 000","315 917 128","10 110","0","34","24"
"04:27:02.444, 21 kwi 2023","5,0","0,0","524 288 000","288 940 728","10 110","0","34","24"
"04:27:12.445, 21 kwi 2023","5,0","0,0","524 288 000","452 546 856","10 110","0","34","24"
"04:27:22.446, 21 kwi 2023","5,0","0,0","524 288 000","425 518 936","10 110","0","34","24"
"04:27:32.446, 21 kwi 2023","5,0","0,0","524 288 000","402 554 328","10 110","0","34","24"
"04:27:42.446, 21 kwi 2023","5,0","0,0","524 288 000","371 132 984","10 110","0","33","23"
"04:27:52.447, 21 kwi 2023","5,0","0,0","524 288 000","344 248 312","10 110","0","34","24"
"04:28:02.448, 21 kwi 2023","5,0","0,0","524 288 000","327 530 488","10 110","0","34","24"
"04:28:12.449, 21 kwi 2023","5,0","0,0","524 288 000","304 437 368","10 110","0","34","24"
"04:28:22.450, 21 kwi 2023","4,9","0,0","524 288 000","445 129 320","10 110","0","34","24"
"04:28:32.452, 21 kwi 2023","5,0","0,0","524 288 000","417 966 280","10 110","0","34","24"
"04:28:42.452, 21 kwi 2023","5,0","0,0","524 288 000","405 398 720","10 110","0","34","24"
"04:28:52.453, 21 kwi 2023","5,0","0,0","524 288 000","388 679 840","10 110","0","34","24"
"04:29:02.453, 21 kwi 2023","5,0","0,0","524 288 000","371 992 312","10 110","0","34","24"
"04:29:12.454, 21 kwi 2023","5,0","0,0","524 288 000","353 192 096","10 110","0","34","24"
"04:29:22.456, 21 kwi 2023","5,0","0,0","524 288 000","336 350 088","10 110","0","34","24"
"04:29:32.457, 21 kwi 2023","5,0","0,0","524 288 000","319 676 912","10 110","0","33","23"
"04:29:42.458, 21 kwi 2023","5,0","0,0","524 288 000","296 505 224","10 110","0","33","23"
"04:29:52.460, 21 kwi 2023","5,1","0,0","524 288 000","282 280 376","10 110","0","35","25"
"04:30:02.460, 21 kwi 2023","4,9","0,0","524 288 000","424 839 880","10 110","0","35","25"
"04:30:12.460, 21 kwi 2023","5,1","0,0","524 288 000","414 575 472","10 110","0","35","25"
"04:30:22.460, 21 kwi 2023","5,0","0,0","524 288 000","393 998 712","10 110","0","34","24"
"04:30:32.462, 21 kwi 2023","4,9","0,0","524 288 000","373 053 984","10 110","0","33","23"
"04:30:42.463, 21 kwi 2023","4,9","0,0","524 288 000","348 075 000","10 110","0","34","24"
"04:30:52.464, 21 kwi 2023","4,9","0,0","524 288 000","322 869 088","10 110","0","34","24"
