=============================== spring ================================
get_product_by_id
30,100,1000,1799800,1799997587,0,0,0,0,0,2362.4849860044,2365,2667,2939,3567,3927,6123,10527,23471,
get_products
30,20,200,359801,1800030855,0,0,0,0,0,38520.852488966,37887,48575,60223,79039,91583,113279,141567,165503,
post_product
30,100,1000,1799764,1799965495,0,0,0,0,0,21683.393412877,4859,5455,6055,776703,1466367,1686527,1790975,2045951,
delete_product
30,100,1000,1799796,1799999434,0,0,0,0,0,21308.139566749,4647,5239,5855,852479,1208319,1394687,1504255,1574911,
load_test
30,50,500,899928,1799932669,0,0,0,0,0,5616.3183686971,2699,4727,16383,28479,39711,62783,86463,109311,
endurance_test
8,50,500,14399908,28799896972,0,0,0,0,0,5308.3431816901,2649,4631,15151,25295,35487,163455,362495,661503,

=============================== quarkus ================================
get_product_by_id
30,100,1000,1799799,1799997898,0,0,0,0,0,2108.2019846918,2095,2397,2681,3271,4127,5231,18895,28335,
get_products
30,20,200,359993,1799967861,0,0,0,0,0,7030.5816136971,6411,8519,10623,13687,22687,29055,36063,44959,
post_product
30,100,1000,1799763,1799964772,0,0,0,0,0,9135.1543662491,4459,5055,5655,45535,991231,1499135,1688575,1776639,
delete_product
30,100,1000,1799796,1799999442,0,0,0,0,0,9328.3251690279,4515,5047,5599,140671,799743,1084415,1250303,1350655,
load_test
30,50,500,899916,1799912269,0,0,0,0,0,3551.1104931132,2489,4447,6759,12631,17135,32031,52927,84991,
endurance_test
8,50,500,14399924,28799922889,0,0,0,0,0,3521.9381666539,2439,4351,6591,12431,19295,185087,387583,587263,

=============================== spring ================================

stress_test
1,10,100,5994,59928464,0,0,0,0,0,11077.070626003,3589,7135,20623,64895,640511,800255,800255,800255,
1,20,200,11989,59948652,0,0,0,0,0,6524.5598916533,2819,5191,17967,35999,99199,130175,140543,140543,
1,30,300,17973,59932316,0,0,0,0,0,6063.8047670059,2759,5095,17263,30719,55519,93887,94591,94591,
1,40,400,23945,59922002,0,0,0,0,0,6755.7356298718,2659,4803,17199,42079,189951,235263,258047,258047,
1,50,500,29924,59922612,0,0,0,0,0,5423.979666613,2673,4623,15799,26911,35423,45887,51647,51647,
1,60,600,35897,59931044,0,0,0,0,0,5662.2575477718,2703,4831,16151,28735,44575,62719,83007,83007,
1,70,700,41857,59928118,0,0,0,0,0,5959.0640057637,2769,5083,17007,30815,52863,67135,93631,93631,
1,80,800,47815,59927356,0,0,0,0,0,6226.8365600626,2909,5439,17567,32559,50047,66367,69887,69887,
1,90,900,53084,59939523,0,0,0,0,0,31560.405953931,30095,45631,59839,83583,103231,124095,128959,128959,
1,100,1000,58943,59927648,0,0,0,0,0,33088.189514987,30863,47103,61855,96447,190335,263167,325119,325119,
1,110,1100,65664,59930738,0,0,0,0,0,12400.528476992,4951,14399,29263,105663,250751,471551,656383,679423,
1,120,1200,70727,59926258,0,0,0,0,0,48494.677853596,44255,66879,86975,185599,289023,391935,432639,464383,
1,130,1300,77372,59929452,0,0,0,0,0,50430.891563815,32239,67199,118719,288511,445439,775679,885247,928767,
1,140,1400,78706,59927747,0,0,0,0,0,1882058.8719229,1626111,2721791,3782655,5578751,6852607,7401471,7458815,7462911,
1,150,1500,78282,59928377,0,0,0,0,0,4348611.8472862,4251647,5840895,7356415,9535487,11051007,11427839,11943935,11984895,
1,160,1600,76363,59926810,0,0,0,0,0,6671804.7509155,6455295,9404415,11223039,13631487,14958591,15359999,15572991,15671295,
1,170,1700,76862,59930169,0,0,0,0,0,8415154.5647813,8310783,11288575,13361151,15892479,17252351,17858559,17956863,17989631,
1,180,1800,75075,59913993,0,0,0,0,0,10482147.742226,10387455,14172159,16506879,19103743,20742143,22282239,22806527,22986751,
1,190,1900,73721,59929731,0,0,0,0,0,12011516.266746,11952127,16162815,18825215,21528575,22888447,23625727,23789567,23805951,
1,200,2000,71878,59913331,0,0,0,0,0,13264167.028778,13230079,18055167,20987903,23920639,25214975,25821183,26198015,26296319,


stress_test
10,10,100,59994,599929102,0,0,0,0,0,6240.9200278046,4435,7095,12231,30767,44959,60671,163583,170367,
10,20,200,119987,599936466,0,0,0,0,0,4849.9044462341,3521,5567,9143,21551,34975,126783,305663,306687,
10,30,300,179972,599930036,0,0,0,0,0,4239.6563331883,3079,5035,8051,17679,29327,38719,44767,47935,
10,40,400,239953,599932048,0,0,0,0,0,4079.1190205687,2703,4647,7087,14087,122431,435199,663039,721919,
10,50,500,299929,599932225,0,0,0,0,0,3666.4599086281,2525,4467,6587,12255,33791,280063,390399,426239,
