time,cpu,gc,size,used,classes,classes_shared,live,daemon
"10:30:16.160, 16 maj 2023","8,7","0,0","566 231 040","398 648 496","9 757","0","128","118"
"10:30:17.161, 16 maj 2023","8,7","0,0","566 231 040","428 008 624","9 757","0","128","118"
"10:30:18.162, 16 maj 2023","8,7","0,0","566 231 040","457 368 752","9 757","0","128","118"
"10:30:19.162, 16 maj 2023","8,7","0,0","566 231 040","484 631 728","9 757","0","128","118"
"10:30:20.163, 16 maj 2023","8,9","0,0","566 231 040","276 267 280","9 757","0","128","118"
"10:30:21.164, 16 maj 2023","9,0","0,0","566 231 040","305 627 408","9 757","0","128","118"
"10:30:22.164, 16 maj 2023","8,4","0,0","566 231 040","334 987 536","9 757","0","128","118"
"10:30:23.165, 16 maj 2023","8,8","0,0","566 231 040","362 250 512","9 757","0","128","118"
"10:30:24.165, 16 maj 2023","8,6","0,0","566 231 040","391 610 640","9 757","0","128","118"
"10:30:25.167, 16 maj 2023","8,6","0,0","566 231 040","420 970 768","9 757","0","128","118"
"10:30:26.168, 16 maj 2023","8,8","0,0","566 231 040","450 330 896","9 757","0","128","118"
"10:30:27.169, 16 maj 2023","9,1","0,0","566 231 040","477 593 872","9 757","0","128","118"
"10:30:28.169, 16 maj 2023","9,1","0,0","566 231 040","278 628 840","9 757","0","128","118"
"10:30:29.170, 16 maj 2023","8,4","0,0","566 231 040","307 988 968","9 757","0","128","118"
"10:30:30.170, 16 maj 2023","8,6","0,0","566 231 040","337 349 096","9 757","0","128","118"
"10:30:31.171, 16 maj 2023","8,8","0,0","566 231 040","364 612 072","9 757","0","128","118"
"10:30:32.171, 16 maj 2023","9,0","0,0","566 231 040","393 972 200","9 757","0","128","118"
"10:30:33.172, 16 maj 2023","8,6","0,0","566 231 040","423 332 328","9 757","0","128","118"
"10:30:34.172, 16 maj 2023","8,8","0,0","566 231 040","452 692 456","9 757","0","128","118"
"10:30:35.173, 16 maj 2023","8,7","0,0","566 231 040","479 955 432","9 757","0","128","118"
"10:30:36.175, 16 maj 2023","9,2","0,0","566 231 040","281 569 888","9 757","0","128","118"
"10:30:37.175, 16 maj 2023","8,8","0,0","566 231 040","310 930 016","9 757","0","128","118"
"10:30:38.176, 16 maj 2023","8,8","0,0","566 231 040","338 192 992","9 757","0","128","118"
"10:30:39.176, 16 maj 2023","8,6","0,0","566 231 040","367 553 120","9 757","0","128","118"
"10:30:40.176, 16 maj 2023","8,6","0,0","566 231 040","396 913 248","9 757","0","128","118"
"10:30:41.177, 16 maj 2023","9,0","0,0","566 231 040","426 273 376","9 757","0","128","118"
"10:30:42.178, 16 maj 2023","8,7","0,0","566 231 040","453 536 352","9 757","0","128","118"
"10:30:43.180, 16 maj 2023","8,6","0,0","566 231 040","482 896 480","9 757","0","128","118"
"10:30:44.180, 16 maj 2023","9,1","0,0","566 231 040","283 355 376","9 757","0","128","118"
"10:30:45.182, 16 maj 2023","8,7","0,0","566 231 040","319 006 960","9 757","0","43","33"
"10:30:46.184, 16 maj 2023","8,8","0,0","566 231 040","348 367 088","9 757","0","43","33"
"10:30:47.184, 16 maj 2023","9,0","0,0","566 231 040","375 630 064","9 757","0","43","33"
"10:30:48.184, 16 maj 2023","8,7","0,0","566 231 040","413 378 800","9 757","0","77","67"
"10:30:49.184, 16 maj 2023","8,7","0,0","566 231 040","442 738 928","9 757","0","77","67"
"10:30:50.185, 16 maj 2023","8,6","0,0","566 231 040","470 001 904","9 757","0","77","67"
"10:30:51.186, 16 maj 2023","9,2","0,0","566 231 040","275 363 632","9 757","0","77","67"
"10:30:52.187, 16 maj 2023","9,0","0,0","566 231 040","302 626 608","9 757","0","77","67"
"10:30:53.187, 16 maj 2023","8,6","0,0","566 231 040","331 986 736","9 757","0","77","67"
"10:30:54.187, 16 maj 2023","8,6","0,0","566 231 040","361 346 864","9 757","0","77","67"
"10:30:55.188, 16 maj 2023","8,7","0,0","566 231 040","388 609 840","9 757","0","77","67"
"10:30:56.190, 16 maj 2023","8,8","0,0","566 231 040","417 969 968","9 757","0","77","67"
"10:30:57.190, 16 maj 2023","8,5","0,0","566 231 040","447 330 096","9 757","0","77","67"
"10:30:58.190, 16 maj 2023","8,6","0,0","566 231 040","474 593 072","9 757","0","77","67"
"10:30:59.192, 16 maj 2023","8,8","0,0","566 231 040","272 572 864","9 757","0","77","67"
"10:31:00.193, 16 maj 2023","8,4","0,0","566 231 040","299 835 840","9 757","0","77","67"
"10:31:01.195, 16 maj 2023","8,9","0,0","566 231 040","329 195 968","9 757","0","77","67"
"10:31:02.195, 16 maj 2023","8,6","0,0","566 231 040","358 556 096","9 757","0","77","67"
"10:31:03.197, 16 maj 2023","9,0","0,0","566 231 040","385 819 072","9 757","0","77","67"
"10:31:04.198, 16 maj 2023","8,6","0,0","566 231 040","415 179 200","9 757","0","77","67"
"10:31:05.200, 16 maj 2023","8,3","0,0","566 231 040","444 539 328","9 757","0","77","67"
"10:31:06.201, 16 maj 2023","8,9","0,0","566 231 040","471 802 304","9 757","0","77","67"
"10:31:07.201, 16 maj 2023","8,8","0,0","566 231 040","260 750 128","9 757","0","77","67"
"10:31:08.202, 16 maj 2023","8,5","0,0","566 231 040","290 110 256","9 757","0","77","67"
"10:31:09.203, 16 maj 2023","8,7","0,0","566 231 040","317 373 232","9 757","0","77","67"
"10:31:10.204, 16 maj 2023","8,6","0,0","566 231 040","346 733 360","9 757","0","77","67"
"10:31:11.204, 16 maj 2023","8,8","0,0","566 231 040","376 093 488","9 757","0","77","67"
"10:31:12.205, 16 maj 2023","8,7","0,0","566 231 040","403 356 464","9 757","0","77","67"
"10:31:13.205, 16 maj 2023","8,6","0,0","566 231 040","432 716 592","9 757","0","77","67"
"10:31:14.205, 16 maj 2023","8,6","0,0","566 231 040","459 979 568","9 757","0","77","67"
"10:31:15.205, 16 maj 2023","8,7","0,0","566 231 040","489 339 696","9 757","0","77","67"
"10:31:16.207, 16 maj 2023","8,9","0,0","566 231 040","273 143 616","9 757","0","77","67"
"10:31:17.208, 16 maj 2023","8,8","0,0","566 231 040","302 503 744","9 757","0","77","67"
"10:31:18.208, 16 maj 2023","8,6","0,0","566 231 040","336 058 176","9 757","0","40","30"
"10:31:19.209, 16 maj 2023","8,5","0,0","566 231 040","363 321 152","9 757","0","40","30"
"10:31:20.210, 16 maj 2023","8,7","0,0","566 231 040","392 681 280","9 757","0","40","30"
"10:31:21.211, 16 maj 2023","8,8","0,0","566 231 040","422 041 408","9 757","0","38","28"
"10:31:22.212, 16 maj 2023","9,2","0,0","566 231 040","459 790 144","9 757","0","73","63"
"10:31:23.212, 16 maj 2023","8,7","0,0","566 231 040","487 053 120","9 757","0","73","63"
"10:31:24.212, 16 maj 2023","8,8","0,0","566 231 040","275 862 000","9 757","0","73","63"
"10:31:25.213, 16 maj 2023","8,6","0,0","566 231 040","303 124 976","9 757","0","73","63"
"10:31:26.214, 16 maj 2023","8,8","0,0","566 231 040","332 485 104","9 757","0","73","63"
"10:31:27.216, 16 maj 2023","9,2","0,0","566 231 040","361 845 232","9 757","0","73","63"
"10:31:28.217, 16 maj 2023","8,6","0,0","566 231 040","389 108 208","9 757","0","73","63"
"10:31:29.218, 16 maj 2023","8,6","0,0","566 231 040","418 468 336","9 757","0","73","63"
"10:31:30.218, 16 maj 2023","8,6","0,0","566 231 040","447 828 464","9 757","0","73","63"
"10:31:31.219, 16 maj 2023","8,9","0,0","566 231 040","475 091 440","9 757","0","73","63"
"10:31:32.220, 16 maj 2023","10,1","0,0","566 231 040","264 382 968","9 757","0","73","63"
"10:31:33.220, 16 maj 2023","9,3","0,0","566 231 040","293 743 096","9 757","0","73","63"
"10:31:34.221, 16 maj 2023","9,1","0,0","566 231 040","323 103 224","9 757","0","73","63"
"10:31:35.222, 16 maj 2023","8,6","0,0","566 231 040","352 463 352","9 757","0","72","62"
"10:31:36.224, 16 maj 2023","8,7","0,0","566 231 040","379 726 328","9 757","0","72","62"
"10:31:37.224, 16 maj 2023","9,0","0,0","566 231 040","409 086 456","9 757","0","72","62"
"10:31:38.225, 16 maj 2023","8,6","0,0","566 231 040","438 446 584","9 757","0","72","62"
"10:31:39.227, 16 maj 2023","8,6","0,0","566 231 040","467 806 712","9 757","0","72","62"
"10:31:40.228, 16 maj 2023","8,7","0,0","566 231 040","256 162 968","9 757","0","72","62"
"10:31:41.229, 16 maj 2023","8,8","0,0","566 231 040","285 523 096","9 757","0","72","62"
"10:31:42.230, 16 maj 2023","8,9","0,0","566 231 040","312 786 072","9 757","0","72","62"
"10:31:43.231, 16 maj 2023","8,5","0,0","566 231 040","342 146 200","9 757","0","72","62"
"10:31:44.231, 16 maj 2023","8,6","0,0","566 231 040","371 506 328","9 757","0","72","62"
"10:31:45.232, 16 maj 2023","8,6","0,0","566 231 040","398 769 304","9 757","0","72","62"
"10:31:46.232, 16 maj 2023","8,8","0,0","566 231 040","428 129 432","9 757","0","72","62"
"10:31:47.232, 16 maj 2023","8,9","0,0","566 231 040","457 489 560","9 757","0","72","62"
"10:31:48.233, 16 maj 2023","8,6","0,0","566 231 040","486 849 688","9 757","0","72","62"
"10:31:49.234, 16 maj 2023","8,8","0,0","566 231 040","272 873 432","9 757","0","72","62"
"10:31:50.235, 16 maj 2023","8,7","0,0","566 231 040","300 136 408","9 757","0","72","62"
"10:31:51.237, 16 maj 2023","8,8","0,0","566 231 040","329 496 536","9 757","0","72","62"
"10:31:52.237, 16 maj 2023","8,8","0,0","566 231 040","360 953 816","9 757","0","45","35"
"10:31:53.238, 16 maj 2023","8,6","0,0","566 231 040","390 313 944","9 757","0","45","35"
"10:31:54.239, 16 maj 2023","8,6","0,0","566 231 040","419 674 072","9 757","0","45","35"
"10:31:55.239, 16 maj 2023","8,6","0,0","566 231 040","446 937 048","9 757","0","45","35"
"10:31:56.239, 16 maj 2023","9,2","0,0","566 231 040","484 685 784","9 757","0","76","66"
"10:31:57.241, 16 maj 2023","9,1","0,0","566 231 040","275 123 632","9 757","0","76","66"
"10:31:58.242, 16 maj 2023","8,6","0,0","566 231 040","304 483 760","9 757","0","76","66"
"10:31:59.242, 16 maj 2023","8,6","0,0","566 231 040","333 843 888","9 757","0","76","66"
"10:32:00.243, 16 maj 2023","8,7","0,0","566 231 040","361 106 864","9 757","0","76","66"
"10:32:01.245, 16 maj 2023","8,8","0,0","566 231 040","390 466 992","9 757","0","76","66"
"10:32:02.245, 16 maj 2023","8,7","0,0","566 231 040","419 827 120","9 757","0","76","66"
"10:32:03.245, 16 maj 2023","8,8","0,0","566 231 040","449 187 248","9 757","0","76","66"
"10:32:04.247, 16 maj 2023","8,6","0,0","566 231 040","476 450 224","9 757","0","76","66"
"10:32:05.247, 16 maj 2023","8,7","0,0","566 231 040","269 475 952","9 757","0","76","66"
"10:32:06.247, 16 maj 2023","9,0","0,0","566 231 040","296 738 928","9 757","0","76","66"
"10:32:07.248, 16 maj 2023","8,7","0,0","566 231 040","326 099 056","9 757","0","76","66"
"10:32:08.248, 16 maj 2023","8,6","0,0","566 231 040","355 459 184","9 757","0","76","66"
"10:32:09.250, 16 maj 2023","8,4","0,0","566 231 040","382 722 160","9 757","0","76","66"
"10:32:10.251, 16 maj 2023","8,6","0,0","566 231 040","412 082 288","9 757","0","76","66"
"10:32:11.251, 16 maj 2023","8,7","0,0","566 231 040","441 442 416","9 757","0","76","66"
"10:32:12.252, 16 maj 2023","8,8","0,0","566 231 040","468 705 392","9 757","0","76","66"
"10:32:13.252, 16 maj 2023","8,7","0,0","566 231 040","256 900 240","9 757","0","76","66"
"10:32:14.253, 16 maj 2023","8,4","0,0","566 231 040","284 163 216","9 757","0","76","66"
"10:32:15.254, 16 maj 2023","8,7","0,0","566 231 040","313 523 344","9 757","0","76","66"
"10:32:16.256, 16 maj 2023","8,8","0,0","566 231 040","342 883 472","9 757","0","76","66"
"10:32:17.257, 16 maj 2023","9,1","0,0","566 231 040","370 146 448","9 757","0","76","66"
"10:32:18.257, 16 maj 2023","8,6","0,0","566 231 040","399 506 576","9 757","0","76","66"
"10:32:19.258, 16 maj 2023","8,4","0,0","566 231 040","428 866 704","9 757","0","76","66"
"10:32:20.260, 16 maj 2023","8,6","0,0","566 231 040","456 129 680","9 757","0","76","66"
"10:32:21.260, 16 maj 2023","9,0","0,0","566 231 040","485 489 808","9 757","0","76","66"
"10:32:22.260, 16 maj 2023","8,8","0,0","566 231 040","271 265 280","9 757","0","76","66"
"10:32:23.262, 16 maj 2023","8,7","0,0","566 231 040","300 625 408","9 757","0","76","66"
"10:32:24.262, 16 maj 2023","8,4","0,0","566 231 040","329 985 536","9 757","0","76","66"
"10:32:25.264, 16 maj 2023","8,6","0,0","566 231 040","359 345 664","9 757","0","76","66"
"10:32:26.265, 16 maj 2023","8,8","0,0","566 231 040","390 802 944","9 757","0","38","28"
"10:32:27.267, 16 maj 2023","8,7","0,0","566 231 040","420 163 072","9 757","0","38","28"
"10:32:28.267, 16 maj 2023","8,6","0,0","566 231 040","447 426 048","9 757","0","38","28"
"10:32:29.268, 16 maj 2023","8,4","0,0","566 231 040","476 786 176","9 757","0","38","28"
"10:32:30.268, 16 maj 2023","7,4","0,0","566 231 040","275 876 848","9 757","0","127","117"
"10:32:31.270, 16 maj 2023","6,6","0,0","566 231 040","301 042 672","9 757","0","127","117"
"10:32:32.270, 16 maj 2023","13,0","0,0","566 231 040","347 180 016","9 757","0","127","117"
"10:32:33.271, 16 maj 2023","9,1","0,0","566 231 040","376 540 144","9 757","0","127","117"
"10:32:34.272, 16 maj 2023","8,7","0,0","566 231 040","405 900 272","9 757","0","127","117"
"10:32:35.272, 16 maj 2023","8,6","0,0","566 231 040","435 260 400","9 757","0","127","117"
"10:32:36.273, 16 maj 2023","8,8","0,0","566 231 040","464 620 528","9 757","0","127","117"
"10:32:37.273, 16 maj 2023","9,1","0,0","566 231 040","491 883 504","9 757","0","127","117"
"10:32:38.274, 16 maj 2023","8,9","0,0","566 231 040","287 342 008","9 757","0","127","117"
"10:32:39.274, 16 maj 2023","8,5","0,0","566 231 040","316 702 136","9 757","0","127","117"
"10:32:40.275, 16 maj 2023","8,6","0,0","566 231 040","343 965 112","9 757","0","127","117"
"10:32:41.276, 16 maj 2023","9,0","0,0","566 231 040","373 325 240","9 757","0","127","117"
"10:32:42.277, 16 maj 2023","8,8","0,0","566 231 040","402 685 368","9 757","0","127","117"
"10:32:43.279, 16 maj 2023","8,6","0,0","566 231 040","432 045 496","9 757","0","127","117"
"10:32:44.279, 16 maj 2023","8,5","0,0","566 231 040","461 405 624","9 757","0","127","117"
"10:32:45.280, 16 maj 2023","8,9","0,0","566 231 040","264 950 416","9 757","0","127","117"
"10:32:46.281, 16 maj 2023","8,8","0,0","566 231 040","294 310 544","9 757","0","127","117"
"10:32:47.282, 16 maj 2023","8,9","0,0","566 231 040","321 573 520","9 757","0","127","117"
"10:32:48.283, 16 maj 2023","8,7","0,0","566 231 040","350 933 648","9 757","0","127","117"
"10:32:49.283, 16 maj 2023","8,7","0,0","566 231 040","380 293 776","9 757","0","127","117"
"10:32:50.284, 16 maj 2023","8,6","0,0","566 231 040","409 653 904","9 757","0","127","117"
"10:32:51.286, 16 maj 2023","8,7","0,0","566 231 040","439 014 032","9 757","0","127","117"
"10:32:52.287, 16 maj 2023","8,9","0,0","566 231 040","466 277 008","9 757","0","127","117"
"10:32:53.287, 16 maj 2023","8,8","0,0","566 231 040","271 073 168","9 757","0","127","117"
"10:32:54.288, 16 maj 2023","8,8","0,0","566 231 040","300 433 296","9 757","0","127","117"
"10:32:55.290, 16 maj 2023","8,6","0,0","566 231 040","329 793 424","9 757","0","127","117"
"10:32:56.290, 16 maj 2023","8,8","0,0","566 231 040","359 153 552","9 757","0","127","117"
"10:32:57.291, 16 maj 2023","8,8","0,0","566 231 040","386 416 528","9 757","0","127","117"
"10:32:58.292, 16 maj 2023","8,6","0,0","566 231 040","415 776 656","9 757","0","127","117"
"10:32:59.292, 16 maj 2023","8,7","0,0","566 231 040","445 136 784","9 757","0","127","117"
"10:33:00.293, 16 maj 2023","8,6","0,0","566 231 040","474 496 912","9 757","0","127","117"
"10:33:01.293, 16 maj 2023","9,1","0,0","566 231 040","277 040 416","9 757","0","127","117"
"10:33:02.293, 16 maj 2023","9,0","0,0","566 231 040","306 400 544","9 757","0","127","117"
"10:33:03.294, 16 maj 2023","8,7","0,0","566 231 040","339 954 976","9 757","0","42","32"
"10:33:04.294, 16 maj 2023","8,6","0,0","566 231 040","369 315 104","9 757","0","42","32"
"10:33:05.295, 16 maj 2023","8,8","0,0","566 231 040","404 966 688","9 757","0","73","63"
"10:33:06.295, 16 maj 2023","8,8","0,0","566 231 040","434 326 816","9 757","0","73","63"
"10:33:07.297, 16 maj 2023","8,9","0,0","566 231 040","463 686 944","9 757","0","73","63"
"10:33:08.298, 16 maj 2023","9,2","0,0","566 231 040","271 511 048","9 757","0","73","63"
"10:33:09.298, 16 maj 2023","8,8","0,0","566 231 040","298 774 024","9 757","0","73","63"
"10:33:10.298, 16 maj 2023","8,8","0,0","566 231 040","328 134 152","9 757","0","73","63"
"10:33:11.299, 16 maj 2023","8,7","0,0","566 231 040","357 494 280","9 757","0","73","63"
"10:33:12.300, 16 maj 2023","9,1","0,0","566 231 040","384 757 256","9 757","0","73","63"
"10:33:13.300, 16 maj 2023","8,6","0,0","566 231 040","414 117 384","9 757","0","73","63"
"10:33:14.301, 16 maj 2023","8,6","0,0","566 231 040","443 477 512","9 757","0","73","63"
"10:33:15.302, 16 maj 2023","8,6","0,0","566 231 040","470 740 488","9 757","0","73","63"
"10:33:16.303, 16 maj 2023","9,1","0,0","566 231 040","272 445 960","9 757","0","73","63"
"10:33:17.304, 16 maj 2023","8,7","0,0","566 231 040","299 708 936","9 757","0","73","63"
"10:33:18.304, 16 maj 2023","8,7","0,0","566 231 040","329 069 064","9 757","0","73","63"
"10:33:19.305, 16 maj 2023","8,6","0,0","566 231 040","358 429 192","9 757","0","73","63"
"10:33:20.305, 16 maj 2023","8,6","0,0","566 231 040","385 692 168","9 757","0","73","63"
"10:33:21.307, 16 maj 2023","8,7","0,0","566 231 040","415 052 296","9 757","0","73","63"
"10:33:22.308, 16 maj 2023","8,9","0,0","566 231 040","444 412 424","9 757","0","73","63"
"10:33:23.308, 16 maj 2023","8,5","0,0","566 231 040","471 675 400","9 757","0","73","63"
"10:33:24.309, 16 maj 2023","8,8","0,0","566 231 040","262 698 992","9 757","0","73","63"
"10:33:25.311, 16 maj 2023","8,7","0,0","566 231 040","289 961 968","9 757","0","73","63"
"10:33:26.311, 16 maj 2023","8,7","0,0","566 231 040","319 322 096","9 757","0","73","63"
"10:33:27.312, 16 maj 2023","8,9","0,0","566 231 040","346 585 072","9 757","0","73","63"
"10:33:28.312, 16 maj 2023","8,6","0,0","566 231 040","375 945 200","9 757","0","73","63"
"10:33:29.314, 16 maj 2023","8,6","0,0","566 231 040","405 305 328","9 757","0","73","63"
"10:33:30.315, 16 maj 2023","8,7","0,0","566 231 040","434 665 456","9 757","0","73","63"
"10:33:31.316, 16 maj 2023","8,8","0,0","566 231 040","461 928 432","9 757","0","73","63"
"10:33:32.317, 16 maj 2023","8,8","0,0","566 231 040","491 288 560","9 757","0","73","63"
"10:33:33.318, 16 maj 2023","8,8","0,0","566 231 040","277 288 880","9 757","0","73","63"
"10:33:34.319, 16 maj 2023","8,6","0,0","566 231 040","306 649 008","9 757","0","73","63"
"10:33:35.320, 16 maj 2023","8,5","0,0","566 231 040","338 106 288","9 757","0","72","62"
"10:33:36.322, 16 maj 2023","9,1","0,0","566 231 040","367 466 416","9 757","0","72","62"
"10:33:37.322, 16 maj 2023","8,8","0,0","566 231 040","396 826 544","9 757","0","72","62"
