time,cpu,gc,size,used,classes,classes_shared,live,daemon
"19:53:13.915, 15 maj 2023","10,2","0,0","480 247 808","176 065 448","13 808","0","122","118"
"19:53:14.915, 15 maj 2023","10,2","0,0","480 247 808","211 717 032","13 808","0","122","118"
"19:53:15.916, 15 maj 2023","10,6","0,0","480 247 808","247 368 616","13 808","0","122","118"
"19:53:16.918, 15 maj 2023","9,3","0,0","480 247 808","285 117 352","13 808","0","122","118"
"19:53:17.919, 15 maj 2023","10,9","0,0","480 247 808","320 768 936","13 808","0","122","118"
"19:53:18.920, 15 maj 2023","10,1","0,0","480 247 808","360 614 824","13 808","0","122","118"
"19:53:19.921, 15 maj 2023","9,7","0,0","480 247 808","117 329 224","13 808","0","122","118"
"19:53:20.923, 15 maj 2023","9,3","0,0","480 247 808","152 980 808","13 808","0","122","118"
"19:53:21.924, 15 maj 2023","11,2","0,0","480 247 808","190 729 544","13 808","0","122","118"
"19:53:22.924, 15 maj 2023","10,8","0,0","480 247 808","228 478 280","13 808","0","122","118"
"19:53:23.925, 15 maj 2023","9,8","0,0","480 247 808","264 129 864","13 808","0","122","118"
"19:53:24.925, 15 maj 2023","9,1","0,0","480 247 808","301 878 600","13 808","0","122","118"
"19:53:25.926, 15 maj 2023","10,7","0,0","480 247 808","339 627 336","13 808","0","122","118"
"19:53:26.927, 15 maj 2023","10,1","0,0","480 247 808","94 348 312","13 808","0","122","118"
"19:53:27.927, 15 maj 2023","11,1","0,0","480 247 808","132 097 048","13 808","0","122","118"
"19:53:28.929, 15 maj 2023","10,7","0,0","480 247 808","169 845 784","13 808","0","122","118"
"19:53:29.930, 15 maj 2023","10,2","0,0","480 247 808","205 497 368","13 808","0","122","118"
"19:53:30.931, 15 maj 2023","9,1","0,0","480 247 808","243 246 104","13 808","0","122","118"
"19:53:31.933, 15 maj 2023","10,2","0,0","480 247 808","280 994 840","13 808","0","122","118"
"19:53:32.933, 15 maj 2023","10,5","0,0","480 247 808","316 646 424","13 808","0","122","118"
"19:53:33.934, 15 maj 2023","9,7","0,0","480 247 808","354 395 160","13 808","0","122","118"
"19:53:34.934, 15 maj 2023","9,8","0,0","480 247 808","109 024 760","13 808","0","122","118"
"19:53:35.935, 15 maj 2023","9,3","0,0","480 247 808","146 773 496","13 808","0","122","118"
"19:53:36.936, 15 maj 2023","10,8","0,0","480 247 808","184 522 232","13 808","0","122","118"
"19:53:37.936, 15 maj 2023","9,5","0,0","480 247 808","222 270 968","13 808","0","122","118"
"19:53:38.937, 15 maj 2023","10,9","0,0","480 247 808","257 922 552","13 808","0","122","118"
"19:53:39.938, 15 maj 2023","9,6","0,0","480 247 808","295 671 288","13 808","0","122","118"
"19:53:40.938, 15 maj 2023","10,0","0,0","480 247 808","331 322 872","13 808","0","122","118"
"19:53:41.938, 15 maj 2023","10,6","0,0","480 247 808","85 876 344","13 808","0","122","118"
"19:53:42.938, 15 maj 2023","9,1","0,0","480 247 808","123 625 080","13 808","0","122","118"
"19:53:43.939, 15 maj 2023","10,3","0,0","480 247 808","161 373 816","13 808","0","122","118"
"19:53:44.940, 15 maj 2023","10,7","0,0","480 247 808","197 025 400","13 808","0","122","118"
"19:53:45.940, 15 maj 2023","9,3","0,0","480 247 808","234 774 136","13 808","0","122","118"
"19:53:46.941, 15 maj 2023","10,4","0,0","480 247 808","272 522 872","13 808","0","122","118"
"19:53:47.941, 15 maj 2023","11,5","0,0","480 247 808","310 271 608","13 808","0","122","118"
"19:53:48.943, 15 maj 2023","10,7","0,0","480 247 808","345 923 192","13 808","0","122","118"
"19:53:49.944, 15 maj 2023","11,0","0,0","480 247 808","100 615 696","13 808","0","122","118"
"19:53:50.945, 15 maj 2023","10,2","0,0","480 247 808","138 364 432","13 808","0","122","118"
"19:53:51.946, 15 maj 2023","10,6","0,0","480 247 808","176 113 168","13 808","0","122","118"
"19:53:52.947, 15 maj 2023","10,8","0,0","480 247 808","211 764 752","13 808","0","122","118"
"19:53:53.948, 15 maj 2023","9,9","0,0","480 247 808","249 513 488","13 808","0","122","118"
"19:53:54.950, 15 maj 2023","11,3","0,0","480 247 808","287 262 224","13 808","0","122","118"
"19:53:55.950, 15 maj 2023","10,0","0,0","480 247 808","322 913 808","13 808","0","122","118"
"19:53:56.950, 15 maj 2023","9,8","0,0","480 247 808","360 662 544","13 808","0","122","118"
"19:53:57.950, 15 maj 2023","11,3","0,0","480 247 808","117 343 440","13 808","0","122","118"
"19:53:58.951, 15 maj 2023","10,9","0,0","480 247 808","152 995 024","13 808","0","122","118"
"19:53:59.953, 15 maj 2023","9,8","0,0","480 247 808","190 743 760","13 808","0","122","118"
"19:54:00.953, 15 maj 2023","9,7","0,0","480 247 808","226 395 344","13 808","0","122","118"
"19:54:01.954, 15 maj 2023","9,1","0,0","480 247 808","264 144 080","13 808","0","122","118"
"19:54:02.954, 15 maj 2023","11,0","0,0","480 247 808","301 892 816","13 808","0","122","118"
"19:54:03.955, 15 maj 2023","8,9","0,0","480 247 808","337 544 400","13 808","0","122","118"
"19:54:04.956, 15 maj 2023","10,6","0,0","480 247 808","94 075 256","13 808","0","122","118"
"19:54:05.957, 15 maj 2023","9,9","0,0","480 247 808","127 629 688","13 808","0","122","118"
"19:54:06.958, 15 maj 2023","10,2","0,0","480 247 808","163 281 272","13 808","0","122","118"
"19:54:07.959, 15 maj 2023","9,9","0,0","480 247 808","201 030 008","13 808","0","122","118"
"19:54:08.960, 15 maj 2023","10,7","0,0","480 247 808","238 778 744","13 808","0","122","118"
"19:54:09.961, 15 maj 2023","10,4","0,0","480 247 808","276 527 480","13 808","0","122","118"
"19:54:10.961, 15 maj 2023","11,2","0,0","480 247 808","314 276 216","13 808","0","122","118"
"19:54:11.962, 15 maj 2023","12,2","0,0","480 247 808","349 927 800","13 808","0","122","118"
"19:54:12.962, 15 maj 2023","10,2","0,0","480 247 808","104 808 920","13 808","0","122","118"
"19:54:13.964, 15 maj 2023","9,9","0,0","480 247 808","142 557 656","13 808","0","122","118"
"19:54:14.964, 15 maj 2023","11,2","0,0","480 247 808","180 306 392","13 808","0","122","118"
"19:54:15.964, 15 maj 2023","9,8","0,0","480 247 808","218 055 128","13 808","0","122","118"
"19:54:16.965, 15 maj 2023","9,4","0,0","480 247 808","255 803 864","13 808","0","122","118"
"19:54:17.965, 15 maj 2023","13,2","0,0","480 247 808","293 552 600","13 808","0","122","118"
"19:54:18.965, 15 maj 2023","10,7","0,0","480 247 808","329 204 184","13 808","0","122","118"
"19:54:19.968, 15 maj 2023","11,1","0,0","480 247 808","88 066 112","13 808","0","122","118"
"19:54:20.969, 15 maj 2023","12,6","0,0","480 247 808","123 717 696","13 808","0","122","118"
"19:54:21.969, 15 maj 2023","9,8","0,0","480 247 808","161 466 432","13 808","0","122","118"
"19:54:22.971, 15 maj 2023","9,8","0,0","480 247 808","197 118 016","13 808","0","122","118"
"19:54:23.972, 15 maj 2023","9,2","0,0","480 247 808","234 866 752","13 808","0","122","118"
"19:54:24.976, 15 maj 2023","10,2","0,0","480 247 808","272 615 488","13 808","0","122","118"
"19:54:25.977, 15 maj 2023","11,6","0,0","480 247 808","310 364 224","13 808","0","122","118"
"19:54:26.979, 15 maj 2023","10,4","0,0","480 247 808","348 112 960","13 808","0","122","118"
"19:54:27.979, 15 maj 2023","11,0","0,0","480 247 808","100 677 408","13 808","0","122","118"
"19:54:28.980, 15 maj 2023","9,9","0,0","480 247 808","138 426 144","13 808","0","122","118"
"19:54:29.981, 15 maj 2023","9,7","0,0","480 247 808","176 174 880","13 808","0","122","118"
"19:54:30.981, 15 maj 2023","11,2","0,0","480 247 808","211 826 464","13 808","0","122","118"
"19:54:31.983, 15 maj 2023","11,8","0,0","480 247 808","247 478 048","13 808","0","122","118"
"19:54:32.983, 15 maj 2023","12,6","0,0","480 247 808","285 226 784","13 808","0","122","118"
"19:54:33.984, 15 maj 2023","10,2","0,0","480 247 808","322 975 520","13 808","0","122","118"
"19:54:34.985, 15 maj 2023","10,6","0,0","480 247 808","358 627 104","13 808","0","122","118"
"19:54:35.985, 15 maj 2023","11,9","0,0","480 247 808","115 523 704","13 808","0","122","118"
"19:54:36.986, 15 maj 2023","9,9","0,0","480 247 808","151 175 288","13 808","0","122","118"
"19:54:37.988, 15 maj 2023","11,4","0,0","480 247 808","188 924 024","13 808","0","122","118"
"19:54:38.989, 15 maj 2023","12,0","0,0","480 247 808","226 672 760","13 808","0","122","118"
"19:54:39.990, 15 maj 2023","11,7","0,0","480 247 808","264 421 496","13 808","0","122","118"
"19:54:40.992, 15 maj 2023","11,1","0,0","480 247 808","300 073 080","13 808","0","122","118"
"19:54:41.993, 15 maj 2023","9,7","0,0","480 247 808","337 821 816","13 808","0","122","118"
"19:54:42.994, 15 maj 2023","10,2","0,0","480 247 808","94 540 040","13 808","0","122","118"
"19:54:43.995, 15 maj 2023","11,0","0,0","480 247 808","132 288 776","13 808","0","122","118"
"19:54:44.995, 15 maj 2023","9,9","0,0","480 247 808","167 940 360","13 808","0","122","118"
"19:54:45.996, 15 maj 2023","10,8","0,0","480 247 808","205 689 096","13 808","0","122","118"
"19:54:46.997, 15 maj 2023","9,6","0,0","480 247 808","243 437 832","13 808","0","122","118"
"19:54:47.997, 15 maj 2023","12,5","0,0","480 247 808","281 186 568","13 808","0","122","118"
"19:54:48.998, 15 maj 2023","9,7","0,0","480 247 808","316 838 152","13 808","0","122","118"
"19:54:49.999, 15 maj 2023","9,4","0,0","480 247 808","352 489 736","13 808","0","122","118"
"19:54:51.000, 15 maj 2023","11,0","0,0","480 247 808","109 180 592","13 808","0","122","118"
"19:54:52.000, 15 maj 2023","12,5","0,0","480 247 808","146 929 328","13 808","0","122","118"
"19:54:53.002, 15 maj 2023","11,2","0,0","480 247 808","184 678 064","13 808","0","122","118"
"19:54:54.004, 15 maj 2023","10,7","0,0","480 247 808","220 329 648","13 808","0","122","118"
"19:54:55.005, 15 maj 2023","9,9","0,0","480 247 808","258 078 384","13 808","0","122","118"
"19:54:56.006, 15 maj 2023","10,1","0,0","480 247 808","295 827 120","13 808","0","122","118"
"19:54:57.008, 15 maj 2023","9,7","0,0","480 247 808","333 575 856","13 808","0","122","118"
"19:54:58.008, 15 maj 2023","10,8","0,0","480 247 808","88 388 352","13 808","0","122","118"
"19:54:59.009, 15 maj 2023","10,1","0,0","480 247 808","124 039 936","13 808","0","122","118"
"19:55:00.010, 15 maj 2023","9,8","0,0","480 247 808","159 691 520","13 808","0","122","118"
"19:55:01.010, 15 maj 2023","9,1","0,0","480 247 808","197 440 256","13 808","0","122","118"
"19:55:02.012, 15 maj 2023","10,4","0,0","480 247 808","233 091 840","13 808","0","122","118"
"19:55:03.014, 15 maj 2023","9,8","0,0","480 247 808","270 840 576","13 808","0","122","118"
"19:55:04.016, 15 maj 2023","10,6","0,0","480 247 808","308 589 312","13 808","0","122","118"
"19:55:05.018, 15 maj 2023","10,5","0,0","480 247 808","346 338 048","13 808","0","122","118"
"19:55:06.018, 15 maj 2023","9,3","0,0","480 247 808","100 897 352","13 808","0","122","118"
"19:55:07.018, 15 maj 2023","9,3","0,0","480 247 808","138 646 088","13 808","0","122","118"
"19:55:08.018, 15 maj 2023","9,5","0,0","480 247 808","176 394 824","13 808","0","122","118"
"19:55:09.019, 15 maj 2023","10,9","0,0","480 247 808","212 046 408","13 808","0","122","118"
"19:55:10.019, 15 maj 2023","9,1","0,0","480 247 808","249 795 144","13 808","0","122","118"
"19:55:11.020, 15 maj 2023","10,3","0,0","480 247 808","285 446 728","13 808","0","122","118"
"19:55:12.020, 15 maj 2023","9,8","0,0","480 247 808","323 195 464","13 808","0","122","118"
"19:55:13.022, 15 maj 2023","9,1","0,0","480 247 808","360 944 200","13 808","0","122","118"
"19:55:14.022, 15 maj 2023","10,7","0,0","480 247 808","117 710 872","13 808","0","122","118"
"19:55:15.023, 15 maj 2023","9,3","0,0","480 247 808","155 459 608","13 808","0","122","118"
"19:55:16.023, 15 maj 2023","10,2","0,0","480 247 808","191 111 192","13 808","0","122","118"
"19:55:17.024, 15 maj 2023","11,5","0,0","480 247 808","228 859 928","13 808","0","122","118"
"19:55:18.025, 15 maj 2023","12,0","0,0","480 247 808","266 608 664","13 808","0","122","118"
"19:55:19.025, 15 maj 2023","11,2","0,0","480 247 808","302 260 248","13 808","0","122","118"
"19:55:20.027, 15 maj 2023","11,3","0,0","480 247 808","340 008 984","13 808","0","122","118"
"19:55:21.028, 15 maj 2023","9,3","0,0","480 247 808","94 648 744","13 808","0","122","118"
"19:55:22.029, 15 maj 2023","10,3","0,0","480 247 808","132 397 480","13 808","0","122","118"
"19:55:23.029, 15 maj 2023","9,7","0,0","480 247 808","170 146 216","13 808","0","122","118"
"19:55:24.030, 15 maj 2023","10,6","0,0","480 247 808","205 797 800","13 808","0","122","118"
"19:55:25.032, 15 maj 2023","9,9","0,0","480 247 808","243 546 536","13 808","0","122","118"
"19:55:26.032, 15 maj 2023","9,8","0,0","480 247 808","281 295 272","13 808","0","122","118"
"19:55:27.034, 15 maj 2023","10,0","0,0","480 247 808","319 044 008","13 808","0","122","118"
"19:55:28.036, 15 maj 2023","9,1","0,0","480 247 808","354 695 592","13 808","0","122","118"
"19:55:29.036, 15 maj 2023","9,7","0,0","480 247 808","107 118 984","13 808","0","122","118"
"19:55:30.037, 15 maj 2023","10,2","0,0","480 247 808","144 867 720","13 808","0","122","118"
"19:55:31.038, 15 maj 2023","10,8","0,0","480 247 808","182 616 456","13 808","0","122","118"
"19:55:32.038, 15 maj 2023","9,8","0,0","480 247 808","218 268 040","13 808","0","122","118"
"19:55:33.038, 15 maj 2023","9,4","0,0","480 247 808","256 016 776","13 808","0","122","118"
"19:55:34.039, 15 maj 2023","8,8","0,0","480 247 808","293 765 512","13 808","0","122","118"
"19:55:35.039, 15 maj 2023","9,1","0,0","480 247 808","329 417 096","13 808","0","122","118"
"19:55:36.040, 15 maj 2023","9,2","0,0","480 247 808","86 118 760","13 808","0","122","118"
"19:55:37.040, 15 maj 2023","9,1","0,0","480 247 808","121 770 344","13 808","0","122","118"
"19:55:38.041, 15 maj 2023","9,6","0,0","480 247 808","159 519 080","13 808","0","122","118"
"19:55:39.041, 15 maj 2023","9,6","0,0","480 247 808","197 267 816","13 808","0","122","118"
"19:55:40.043, 15 maj 2023","10,1","0,0","480 247 808","232 919 400","13 808","0","122","118"
"19:55:41.044, 15 maj 2023","10,0","0,0","480 247 808","270 668 136","13 808","0","122","118"
