time,cpu,gc,size,used,classes,classes_shared,live,daemon
"10:14:23.405, 16 maj 2023","9,9","0,0","367 001 600","305 182 648","9 756","0","127","117"
"10:14:24.406, 16 maj 2023","9,7","0,0","367 001 600","256 960 176","9 756","0","127","117"
"10:14:25.408, 16 maj 2023","9,7","0,0","367 001 600","288 417 456","9 756","0","127","117"
"10:14:26.408, 16 maj 2023","10,2","0,0","367 001 600","240 213 944","9 756","0","47","37"
"10:14:27.410, 16 maj 2023","10,1","0,0","367 001 600","273 768 376","9 756","0","47","37"
"10:14:28.410, 16 maj 2023","9,7","0,0","367 001 600","311 517 112","9 756","0","72","62"
"10:14:29.410, 16 maj 2023","9,9","0,0","367 001 600","265 455 960","9 756","0","72","62"
"10:14:30.411, 16 maj 2023","9,5","0,0","367 001 600","299 010 392","9 756","0","72","62"
"10:14:31.412, 16 maj 2023","10,3","0,0","367 001 600","257 251 136","9 756","0","72","62"
"10:14:32.412, 16 maj 2023","9,9","0,0","367 001 600","288 708 416","9 756","0","72","62"
"10:14:33.412, 16 maj 2023","9,8","0,0","367 001 600","248 986 040","9 756","0","72","62"
"10:14:34.413, 16 maj 2023","9,7","0,0","367 001 600","280 443 320","9 756","0","72","62"
"10:14:35.414, 16 maj 2023","9,6","0,0","367 001 600","311 900 600","9 756","0","72","62"
"10:14:36.415, 16 maj 2023","10,1","0,0","367 001 600","272 199 024","9 756","0","72","62"
"10:14:37.416, 16 maj 2023","10,1","0,0","367 001 600","303 656 304","9 756","0","72","62"
"10:14:38.417, 16 maj 2023","9,8","0,0","367 001 600","261 792 328","9 756","0","72","62"
"10:14:39.418, 16 maj 2023","9,6","0,0","367 001 600","295 346 760","9 756","0","72","62"
"10:14:40.418, 16 maj 2023","10,0","0,0","367 001 600","253 539 376","9 756","0","72","62"
"10:14:41.419, 16 maj 2023","9,8","0,0","367 001 600","287 093 808","9 756","0","72","62"
"10:14:42.421, 16 maj 2023","10,3","0,0","367 001 600","245 052 416","9 756","0","72","62"
"10:14:43.421, 16 maj 2023","9,8","0,0","367 001 600","276 509 696","9 756","0","72","62"
"10:14:44.423, 16 maj 2023","9,6","0,0","367 001 600","310 064 128","9 756","0","72","62"
"10:14:45.425, 16 maj 2023","9,9","0,0","367 001 600","268 139 704","9 756","0","72","62"
"10:14:46.426, 16 maj 2023","9,8","0,0","367 001 600","299 596 984","9 756","0","72","62"
"10:14:47.426, 16 maj 2023","10,2","0,0","367 001 600","261 864 744","9 756","0","72","62"
"10:14:48.427, 16 maj 2023","9,7","0,0","367 001 600","293 322 024","9 756","0","72","62"
"10:14:49.428, 16 maj 2023","9,7","0,0","367 001 600","255 699 440","9 756","0","72","62"
"10:14:50.428, 16 maj 2023","9,7","0,0","367 001 600","287 156 720","9 756","0","72","62"
"10:14:51.428, 16 maj 2023","10,2","0,0","367 001 600","247 214 064","9 756","0","72","62"
"10:14:52.429, 16 maj 2023","10,3","0,0","367 001 600","280 768 496","9 756","0","72","62"
"10:14:53.430, 16 maj 2023","9,7","0,0","367 001 600","312 225 776","9 756","0","72","62"
"10:14:54.430, 16 maj 2023","9,8","0,0","367 001 600","272 505 392","9 756","0","72","62"
"10:14:55.432, 16 maj 2023","9,8","0,0","367 001 600","303 962 672","9 756","0","72","62"
"10:14:56.432, 16 maj 2023","10,1","0,0","367 001 600","266 005 056","9 756","0","72","62"
"10:14:57.432, 16 maj 2023","10,2","0,0","367 001 600","297 462 336","9 756","0","72","62"
"10:14:58.433, 16 maj 2023","9,8","0,0","367 001 600","261 487 968","9 756","0","39","29"
"10:14:59.433, 16 maj 2023","9,6","0,0","367 001 600","292 945 248","9 756","0","39","29"
"10:15:00.433, 16 maj 2023","10,0","0,0","367 001 600","251 311 568","9 756","0","39","29"
"10:15:01.434, 16 maj 2023","10,3","0,0","367 001 600","291 157 456","9 756","0","75","65"
"10:15:02.434, 16 maj 2023","10,2","0,0","367 001 600","255 345 168","9 756","0","75","65"
"10:15:03.435, 16 maj 2023","9,8","0,0","367 001 600","286 802 448","9 756","0","75","65"
"10:15:04.435, 16 maj 2023","10,0","0,0","367 001 600","253 749 008","9 756","0","75","65"
"10:15:05.436, 16 maj 2023","9,7","0,0","367 001 600","287 303 440","9 756","0","75","65"
"10:15:06.437, 16 maj 2023","10,1","0,0","367 001 600","250 956 952","9 756","0","75","65"
"10:15:07.437, 16 maj 2023","10,0","0,0","367 001 600","282 414 232","9 756","0","75","65"
"10:15:08.439, 16 maj 2023","9,8","0,0","367 001 600","248 730 288","9 756","0","75","65"
"10:15:09.439, 16 maj 2023","9,6","0,0","367 001 600","280 187 568","9 756","0","75","65"
"10:15:10.441, 16 maj 2023","9,8","0,0","367 001 600","311 644 848","9 756","0","75","65"
"10:15:11.442, 16 maj 2023","10,2","0,0","367 001 600","275 968 776","9 756","0","75","65"
"10:15:12.442, 16 maj 2023","9,9","0,0","367 001 600","307 426 056","9 756","0","75","65"
"10:15:13.443, 16 maj 2023","9,8","0,0","367 001 600","271 788 496","9 756","0","75","65"
"10:15:14.443, 16 maj 2023","9,6","0,0","367 001 600","303 245 776","9 756","0","75","65"
"10:15:15.444, 16 maj 2023","9,7","0,0","367 001 600","267 589 504","9 756","0","75","65"
"10:15:16.444, 16 maj 2023","10,1","0,0","367 001 600","299 046 784","9 756","0","75","65"
"10:15:17.446, 16 maj 2023","10,1","0,0","367 001 600","259 245 040","9 756","0","75","65"
"10:15:18.447, 16 maj 2023","9,7","0,0","367 001 600","292 799 472","9 756","0","75","65"
"10:15:19.448, 16 maj 2023","9,7","0,0","367 001 600","252 928 112","9 756","0","75","65"
"10:15:20.448, 16 maj 2023","9,6","0,0","367 001 600","284 385 392","9 756","0","75","65"
"10:15:21.449, 16 maj 2023","10,1","0,0","367 001 600","317 939 824","9 756","0","75","65"
"10:15:22.450, 16 maj 2023","10,1","0,0","367 001 600","278 151 760","9 756","0","75","65"
"10:15:23.451, 16 maj 2023","9,7","0,0","367 001 600","309 609 040","9 756","0","75","65"
"10:15:24.452, 16 maj 2023","9,9","0,0","367 001 600","271 881 944","9 756","0","75","65"
"10:15:25.453, 16 maj 2023","9,7","0,0","367 001 600","303 339 224","9 756","0","75","65"
"10:15:26.454, 16 maj 2023","10,1","0,0","367 001 600","265 555 376","9 756","0","75","65"
"10:15:27.454, 16 maj 2023","9,9","0,0","367 001 600","297 012 656","9 756","0","75","65"
"10:15:28.455, 16 maj 2023","9,8","0,0","367 001 600","257 232 304","9 756","0","75","65"
"10:15:29.455, 16 maj 2023","9,6","0,0","367 001 600","290 786 736","9 756","0","75","65"
"10:15:30.455, 16 maj 2023","9,8","0,0","367 001 600","250 913 552","9 756","0","75","65"
"10:15:31.456, 16 maj 2023","10,2","0,0","367 001 600","284 467 984","9 756","0","38","28"
"10:15:32.456, 16 maj 2023","9,8","0,0","367 001 600","315 925 264","9 756","0","38","28"
"10:15:33.457, 16 maj 2023","9,9","0,0","367 001 600","278 171 488","9 756","0","52","42"
"10:15:34.457, 16 maj 2023","10,0","0,0","367 001 600","315 920 224","9 756","0","67","57"
"10:15:35.458, 16 maj 2023","9,9","0,0","367 001 600","283 173 024","9 756","0","67","57"
"10:15:36.459, 16 maj 2023","9,8","0,0","367 001 600","314 630 304","9 756","0","67","57"
"10:15:37.460, 16 maj 2023","10,3","0,0","367 001 600","283 354 384","9 756","0","67","57"
"10:15:38.461, 16 maj 2023","9,8","0,0","367 001 600","254 254 088","9 756","0","67","57"
"10:15:39.461, 16 maj 2023","9,8","0,0","367 001 600","285 711 368","9 756","0","67","57"
"10:15:40.463, 16 maj 2023","9,8","0,0","367 001 600","256 519 448","9 756","0","67","57"
"10:15:41.463, 16 maj 2023","9,9","0,0","367 001 600","287 976 728","9 756","0","67","57"
"10:15:42.463, 16 maj 2023","10,2","0,0","367 001 600","256 618 152","9 756","0","67","57"
"10:15:43.464, 16 maj 2023","9,6","0,0","367 001 600","290 172 584","9 756","0","67","57"
"10:15:44.464, 16 maj 2023","9,8","0,0","367 001 600","258 744 016","9 756","0","67","57"
"10:15:45.465, 16 maj 2023","9,7","0,0","367 001 600","290 201 296","9 756","0","67","57"
"10:15:46.465, 16 maj 2023","10,2","0,0","367 001 600","260 472 704","9 756","0","67","57"
"10:15:47.465, 16 maj 2023","10,0","0,0","367 001 600","291 929 984","9 756","0","67","57"
"10:15:48.466, 16 maj 2023","9,8","0,0","367 001 600","263 100 704","9 756","0","67","57"
"10:15:49.467, 16 maj 2023","9,6","0,0","367 001 600","294 557 984","9 756","0","67","57"
"10:15:50.468, 16 maj 2023","9,8","0,0","367 001 600","262 862 128","9 756","0","67","57"
"10:15:51.469, 16 maj 2023","9,9","0,0","367 001 600","294 319 408","9 756","0","67","57"
"10:15:52.470, 16 maj 2023","10,1","0,0","367 001 600","265 091 040","9 756","0","67","57"
"10:15:53.471, 16 maj 2023","9,7","0,0","367 001 600","296 548 320","9 756","0","67","57"
"10:15:54.471, 16 maj 2023","9,8","0,0","367 001 600","267 080 304","9 756","0","67","57"
"10:15:55.471, 16 maj 2023","9,7","0,0","367 001 600","298 537 584","9 756","0","67","57"
"10:15:56.472, 16 maj 2023","10,1","0,0","367 001 600","269 185 712","9 756","0","67","57"
"10:15:57.472, 16 maj 2023","9,7","0,0","367 001 600","300 642 992","9 756","0","67","57"
"10:15:58.474, 16 maj 2023","10,1","0,0","367 001 600","269 065 992","9 756","0","67","57"
"10:15:59.474, 16 maj 2023","9,7","0,0","367 001 600","302 620 424","9 756","0","67","57"
"10:16:00.474, 16 maj 2023","10,0","0,0","367 001 600","271 302 800","9 756","0","67","57"
"10:16:01.474, 16 maj 2023","9,9","0,0","367 001 600","302 760 080","9 756","0","67","57"
"10:16:02.475, 16 maj 2023","10,2","0,0","367 001 600","273 544 904","9 756","0","67","57"
"10:16:03.475, 16 maj 2023","9,7","0,0","367 001 600","305 002 184","9 756","0","52","52"
"10:16:04.477, 16 maj 2023","9,9","0,0","367 001 600","275 195 504","9 756","0","37","27"
"10:16:05.478, 16 maj 2023","9,7","0,0","367 001 600","308 749 936","9 756","0","37","27"
"10:16:06.478, 16 maj 2023","10,1","0,0","367 001 600","272 375 344","9 756","0","37","27"
"10:16:07.480, 16 maj 2023","9,9","0,0","367 001 600","303 832 624","9 756","0","37","27"
"10:16:08.481, 16 maj 2023","9,3","0,0","367 001 600","287 613 632","9 756","0","127","117"
"10:16:09.481, 16 maj 2023","12,5","0,0","367 001 600","282 299 376","9 756","0","127","117"
"10:16:10.483, 16 maj 2023","8,9","0,0","367 001 600","311 659 504","9 756","0","127","117"
"10:16:11.483, 16 maj 2023","11,6","0,0","367 001 600","306 717 424","9 756","0","127","117"
"10:16:12.484, 16 maj 2023","10,3","0,0","367 001 600","297 390 864","9 756","0","127","117"
"10:16:13.485, 16 maj 2023","9,9","0,0","367 001 600","286 764 616","9 756","0","127","117"
"10:16:14.486, 16 maj 2023","9,6","0,0","367 001 600","274 169 264","9 756","0","127","117"
"10:16:15.488, 16 maj 2023","9,7","0,0","367 001 600","305 626 544","9 756","0","127","117"
"10:16:16.488, 16 maj 2023","10,7","0,0","367 001 600","293 009 968","9 756","0","127","117"
"10:16:17.489, 16 maj 2023","9,9","0,0","367 001 600","280 446 896","9 756","0","127","117"
"10:16:18.489, 16 maj 2023","9,6","0,0","367 001 600","311 904 176","9 756","0","127","117"
"10:16:19.490, 16 maj 2023","9,7","0,0","367 001 600","297 260 720","9 756","0","127","117"
"10:16:20.491, 16 maj 2023","9,7","0,0","367 001 600","280 473 648","9 756","0","127","117"
"10:16:21.492, 16 maj 2023","9,9","0,0","367 001 600","314 028 080","9 756","0","127","117"
"10:16:22.493, 16 maj 2023","10,2","0,0","367 001 600","297 278 656","9 756","0","127","117"
